regime,budget_fraction,seed,random_rmse,coverage_rmse,rmse_gain,random_cell_cv,coverage_cell_cv,cell_cv_reduction,relative_rmse_gain_pct,spatial_test_fold
spatial_fold_0,0.2,0,29.223221047747728,28.61307502543847,0.6101460223092587,1.7736081724696606,0.7395264358072073,1.0340817366624533,2.0878808031200364,0
spatial_fold_0,0.2,1,29.01401040994252,28.84858187230525,0.16542853763727194,1.740026709047746,0.7484308576708422,0.9915958513769038,0.570167775153837,0
spatial_fold_0,0.2,2,29.57993834899557,28.644429065525017,0.9355092834705516,1.7348097948512298,0.7272361104608241,1.0075736843904055,3.16264784744664,0
spatial_fold_0,0.2,3,29.266483199477168,28.78119137416415,0.48529182531301984,1.7225306291205251,0.743636888909742,0.9788937402107831,1.6581829186832033,0
spatial_fold_0,0.2,4,29.930384773820197,29.05432739708612,0.876057376734078,1.7542289808964913,0.7690591999752037,0.9851697809212876,2.9269833426944665,0
spatial_fold_0,0.2,5,28.68577300506045,28.239832046593893,0.4459409584665579,1.756027083698227,0.7441434475015863,1.0118836361966408,1.554571872223522,0
spatial_fold_0,0.2,6,30.391836410097145,29.21999192499374,1.1718444851034064,1.7646965345705303,0.7581408793947088,1.0065556551758217,3.855787025472676,0
spatial_fold_0,0.2,7,29.56834796740133,29.53395914693267,0.034388820468659986,1.7526306117006678,0.7496840264372463,1.0029465852634214,0.11630281308436019,0
spatial_fold_0,0.2,8,29.636225077743894,28.96986643755117,0.6663586401927262,1.7438490868328853,0.7668642803386468,0.9769848064942385,2.248459911627361,0
spatial_fold_0,0.2,9,29.90704244848688,28.525758075662417,1.3812843728244637,1.775411284098852,0.7500250285394306,1.0253862555594213,4.618592343939207,0
spatial_fold_0,0.2,10,30.366112568508203,29.07425901137028,1.291853557137923,1.7587609643047213,0.7519246232855628,1.0068363410191585,4.254260581506459,0
spatial_fold_0,0.2,11,28.80291659924431,28.80172540030736,0.001191198936947302,1.7307983452533164,0.7652040660867416,0.9655942791665748,0.00413568859543396,0
spatial_fold_0,0.2,12,28.984151192233934,29.22212362044761,-0.23797242821367703,1.793468386450306,0.750217895282337,1.043250491167969,-0.8210432889179787,0
spatial_fold_0,0.2,13,29.70442795656053,29.41067858696137,0.2937493695991584,1.7741164903244215,0.7782569539735763,0.9958595363508452,0.9889076807967306,0
spatial_fold_0,0.2,14,29.95318854247063,28.563856207021548,1.3893323354490832,1.7240866511383537,0.7112330518475863,1.0128535992907675,4.638345375081349,0
spatial_fold_0,0.2,15,28.197792668939925,28.559708511689852,-0.3619158427499265,1.7072294231804863,0.7655733137262702,0.9416561094542161,-1.283489977385994,0
spatial_fold_0,0.2,16,29.073320356125752,28.376050218384464,0.6972701377412882,1.7676511355211395,0.7737913266610085,0.993859808860131,2.398316151028733,0
spatial_fold_0,0.2,17,29.183332229469613,28.8094657895385,0.37386643993111335,1.7766861974411428,0.7745909585526658,1.002095238888477,1.2810957877989662,0
spatial_fold_0,0.2,18,29.57305161686011,28.809862099896208,0.7631895169639016,1.7536611798318458,0.7476437479516039,1.0060174318802417,2.5806924724967986,0
spatial_fold_0,0.2,19,29.926943654736185,29.02840775026641,0.8985359044697745,1.773226838452645,0.7854348204023234,0.9877920180503217,3.0024312366678108,0
spatial_fold_1,0.2,0,23.99448706074228,24.107067682120032,-0.11258062137775227,1.617922952723165,0.6882387915045267,0.9296841612186384,-0.46919369892239543,1
spatial_fold_1,0.2,1,23.47051830629541,23.95199621906757,-0.48147791277216,1.6449054233441942,0.7115767671981034,0.9333286561460908,-2.05141576546699,1
spatial_fold_1,0.2,2,23.594120192593213,23.25818184444401,0.3359383481492024,1.60077440841173,0.6628987537490122,0.9378756546627177,1.42382231423345,1
spatial_fold_1,0.2,3,23.78304074140505,24.24988273406411,-0.46684199265905946,1.6240835591709082,0.6736793924215779,0.9504041667493303,-1.9629197028885865,1
spatial_fold_1,0.2,4,27.26927275959497,25.15554406674509,2.113728692849879,1.6435362670450673,0.6878091385815884,0.9557271284634788,7.751320365176009,1
spatial_fold_1,0.2,5,23.949179293167067,23.803485601023493,0.14569369214357408,1.648847481951021,0.7156237067679522,0.9332237751830689,0.6083452395595949,1
spatial_fold_1,0.2,6,23.074687926565563,23.73282377949104,-0.6581358529254757,1.634717765121076,0.6734487008684329,0.9612690642526431,-2.8521982833309445,1
spatial_fold_1,0.2,7,27.568149663587768,23.391338021093368,4.1768116424944,1.608598932366354,0.6545853438437992,0.9540135885225549,15.150859573325539,1
spatial_fold_1,0.2,8,24.19917983623099,24.25051149980831,-0.05133166357732222,1.6793899125725682,0.7156713685264536,0.9637185440461146,-0.21212150132653876,1
spatial_fold_1,0.2,9,23.256891776266595,23.230179021889818,0.02671275437677778,1.624986394681145,0.7089835833389024,0.9160028113422425,0.11485952049722249,1
spatial_fold_1,0.2,10,24.388785052380637,23.406854933478183,0.9819301189024543,1.625091343001968,0.6805303646743562,0.9445609783276118,4.0261543032731195,1
spatial_fold_1,0.2,11,23.85696819685564,23.39921883576397,0.4577493610916683,1.6488267952383595,0.7024479528402752,0.9463788423980843,1.918723943941879,1
spatial_fold_1,0.2,12,25.752457532913315,22.775410742596893,2.9770467903164217,1.6602614473849997,0.6945807672196008,0.9656806801653989,11.560243470012765,1
spatial_fold_1,0.2,13,23.098531721853178,22.936865451130576,0.16166627072260198,1.623539749407355,0.6715720997876067,0.9519676496197482,0.6998984726360418,1
spatial_fold_1,0.2,14,28.7593875800506,26.315808733270536,2.4435788467800634,1.6109673448430415,0.6711035414052258,0.9398638034378157,8.496630326283757,1
spatial_fold_1,0.2,15,24.24325598512995,23.52741678738462,0.7158391977453284,1.6712913743588529,0.6882112576966294,0.9830801166622235,2.9527353841596264,1
spatial_fold_1,0.2,16,23.77565980842183,23.65552399947692,0.12013580894490872,1.6537131423254228,0.6969719984316404,0.9567411438937824,0.5052890641644954,1
spatial_fold_1,0.2,17,25.625528388034816,23.49970730268,2.125821085354815,1.643386374303493,0.6893887209849249,0.9539976533185682,8.29571610452104,1
spatial_fold_1,0.2,18,24.752906649053045,23.573967119209517,1.1789395298435288,1.6887831386976246,0.7279992008542597,0.9607839378433649,4.762832690958461,1
spatial_fold_1,0.2,19,23.39489135123009,23.710410201511444,-0.31551885028135374,1.614647244802843,0.7013896842191828,0.9132575605836603,-1.348665593459847,1
spatial_fold_2,0.2,0,21.71710257211369,21.663182652873843,0.053919919239845626,1.7276720754826909,0.7428195631883886,0.9848525122943023,0.24828320933144488,2
spatial_fold_2,0.2,1,21.655209128877875,21.656053331863685,-0.0008442029858102273,1.7563610402360923,0.7510125118877623,1.00534852834833,-0.0038983829746740114,2
spatial_fold_2,0.2,2,21.392956807251856,20.82569553549877,0.567261271753086,1.738509197402911,0.7418130629937246,0.9966961344091864,2.6516263126413357,2
spatial_fold_2,0.2,3,21.18268325018084,21.48601985664671,-0.30333660646586935,1.6863035632490764,0.7464078939736614,0.939895669275415,-1.4320027490534266,2
spatial_fold_2,0.2,4,21.441376719355976,21.708586294245663,-0.2672095748896872,1.7261001048810305,0.757991378933424,0.9681087259476064,-1.2462332917665058,2
spatial_fold_2,0.2,5,21.218212253559425,21.47201314049325,-0.2538008869338242,1.6959180853900404,0.7092372433344019,0.9866808420556386,-1.1961464231806251,2
spatial_fold_2,0.2,6,21.96395504515601,21.51519022768433,0.4487648174716803,1.7367770160687608,0.76112501556855,0.9756520005002108,2.043187652447195,2
spatial_fold_2,0.2,7,22.38724540861732,21.63817329766229,0.74907211095503,1.7005982704653222,0.7625820394978633,0.9380162309674589,3.345977127970806,2
spatial_fold_2,0.2,8,21.974544370677737,21.853290897486545,0.12125347319119228,1.7175020876931222,0.7279669695278691,0.9895351181652531,0.5517906134745154,2
spatial_fold_2,0.2,9,21.27134452714852,21.68989120816408,-0.4185466810155596,1.6873982106171308,0.7050310615550266,0.9823671490621042,-1.9676550322494675,2
