year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,3,random,1000,4,539,945,12,0.117,8.043
2005,3,spatial_coverage,1000,4,592,1000,12,0.113,7.063
2005,3,historical_density,5000,0,497,1866,12,1.0,382.1792
2005,3,random,5000,0,789,3820,12,0.1092,6.2292
2005,3,spatial_coverage,5000,0,825,5000,12,0.1026,8.7676
2005,3,historical_density,5000,1,493,1883,12,1.0,381.6384
2005,3,random,5000,1,781,3827,12,0.1088,8.8308
2005,3,spatial_coverage,5000,1,825,5000,12,0.0966,12.0266
2005,3,historical_density,5000,2,493,1870,12,1.0,381.9096
2005,3,random,5000,2,782,3863,12,0.1152,12.753
2005,3,spatial_coverage,5000,2,824,5000,12,0.1046,11.0974
2005,3,historical_density,5000,3,490,1898,12,1.0,382.4416
2005,3,random,5000,3,783,3804,12,0.1194,8.6068
2005,3,spatial_coverage,5000,3,825,5000,12,0.104,10.8058
2005,3,historical_density,5000,4,501,1875,12,1.0,379.7256
2005,3,random,5000,4,778,3764,12,0.1114,10.5862
2005,3,spatial_coverage,5000,4,825,5000,12,0.0984,7.9944
2005,4,historical_density,1000,0,320,662,12,1.0,625.287
2005,4,random,1000,0,527,937,12,0.1,4.295
2005,4,spatial_coverage,1000,0,586,1000,12,0.097,6.413
2005,4,historical_density,1000,1,313,685,12,1.0,604.931
2005,4,random,1000,1,536,952,12,0.123,9.877
2005,4,spatial_coverage,1000,1,580,1000,12,0.09,10.274
2005,4,historical_density,1000,2,319,684,12,1.0,598.73
2005,4,random,1000,2,535,943,12,0.102,4.845
2005,4,spatial_coverage,1000,2,589,1000,12,0.116,11.18
2005,4,historical_density,1000,3,309,681,12,1.0,616.588
2005,4,random,1000,3,548,945,12,0.111,7.229
2005,4,spatial_coverage,1000,3,579,1000,12,0.095,8.177
2005,4,historical_density,1000,4,330,694,12,1.0,627.645
2005,4,random,1000,4,538,951,12,0.119,8.783
