year,spatial_fold,evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,n_evaluation_domain,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
2005,0,all,historical_density,1000,0,391248,96240,96240,36.30051089611096,21.148018038489194,-4.346458181960784,13.745685149405546,63.88314827407231,150.3760266254801,0.2933684409341611,0.6326440754633167
2005,0,all,random,1000,0,391248,96240,96240,30.056447657771685,16.05417032006473,-0.0203641375387035,9.87498503073138,47.24972522606952,111.6674335318856,0.515556809359911,0.7181302549402084
2005,0,all,spatial_coverage,1000,0,391248,96240,96240,34.211185706048504,17.26755283208481,2.3461605478464502,10.097116412009626,50.30896965118611,156.61088011566713,0.3723698358826794,0.6549819304597859
2005,0,all,historical_density,1000,1,391248,96240,96240,34.91178201919896,20.44708125007348,-2.668381735912845,13.556085767684664,62.12016177972108,138.1110385286724,0.3464006832856292,0.6397431060729356
2005,0,all,random,1000,1,391248,96240,96240,28.291461519076304,16.036334324850106,-0.7073294829832428,10.495470949553235,46.96332585610396,102.4971460516876,0.5707816094220648,0.7557410607892341
2005,0,all,spatial_coverage,1000,1,391248,96240,96240,29.466089682229622,16.76287736267152,0.0875502186636776,10.879544951057085,48.454055473432,108.68079419671496,0.5344004331857759,0.7312186939020731
2005,0,all,historical_density,1000,2,391248,96240,96240,37.06131581476139,20.75977276175689,-4.8856907926570114,13.187864602660255,66.40201477133199,157.83128754460026,0.2634381455220831,0.6234361133887109
2005,0,all,random,1000,2,391248,96240,96240,27.29659683254118,14.772496758143763,0.6150685237211874,9.424942098031806,42.89497094766647,95.7668405201928,0.6004376437131673,0.7771914233156684
2005,0,all,spatial_coverage,1000,2,391248,96240,96240,30.699328346746217,17.274333749776186,-0.5645478507977219,10.992064074225766,49.99261415871469,111.1291973295627,0.4946115613232151,0.7141528409506152
2005,0,all,historical_density,1000,3,391248,96240,96240,35.84810516337649,19.957814328418028,-4.644888469455712,12.609093868842734,63.93016662615356,147.26204916399848,0.3108718909789377,0.6510284870915339
2005,0,all,random,1000,3,391248,96240,96240,35.21252375267399,17.653261460994432,2.709437196308247,9.986186221646818,52.66220680987623,176.55307181535966,0.3350915368277825,0.6182715195288135
2005,0,all,spatial_coverage,1000,3,391248,96240,96240,34.516617868923795,17.937828463134004,2.653186031599604,10.92301556639194,50.5929303750544,161.17848783373245,0.3611130401002447,0.6344859016289407
2005,0,all,historical_density,1000,4,391248,96240,96240,33.343198266600126,18.89664959686782,-2.848572726352732,11.834685903015156,57.78674047838607,131.6169172189172,0.4038136002811183,0.6627370509719988
2005,0,all,random,1000,4,391248,96240,96240,28.75449106465743,15.75678251082182,0.7557573302506563,10.146166138235174,45.38680362256831,110.89868933495204,0.5566171144213226,0.7473809717803863
2005,0,all,spatial_coverage,1000,4,391248,96240,96240,28.660431293580206,15.9187111537515,1.5660698931354775,10.251782915552724,46.665533406665375,111.01356754442914,0.5595130990623022,0.7494406317226117
2005,0,all,historical_density,5000,0,391248,96240,96240,32.20019026220198,17.421482966506172,-4.518961814988414,10.361273845697667,57.436014704590654,137.09393858711795,0.4439876596374686,0.7029445808161295
2005,0,all,random,5000,0,391248,96240,96240,24.748005502227304,12.535920181610813,0.1351677813615167,7.887250942234687,36.729780645496646,87.76347366868036,0.6715661110737514,0.8198992831806027
2005,0,all,spatial_coverage,5000,0,391248,96240,96240,30.361968860457047,14.935383502951764,2.369373229138252,9.1925159602078,40.72315942445434,115.6614009292418,0.5056581073893336,0.7253512523163049
2005,0,all,historical_density,5000,1,391248,96240,96240,33.25522870204648,17.399255835591475,-5.203839464680361,10.125551209816225,61.5043908603004,139.2540718501532,0.4069552949029233,0.6977275860678147
2005,0,all,random,5000,1,391248,96240,96240,24.391680048189205,12.658622315719407,0.6161626169046079,8.254705604786665,35.18141990598512,83.33897446355192,0.6809557042334602,0.8276067112234392
2005,0,all,spatial_coverage,5000,1,391248,96240,96240,25.016315657107626,13.071231867733102,0.2036533855908599,8.38768483411613,37.21387619389619,85.98718024115009,0.6644059507114173,0.8153762331468969
2005,0,all,historical_density,5000,2,391248,96240,96240,32.81992669142515,17.41333444194114,-4.408562000480655,10.462336196866149,56.90747146753495,133.54353910378234,0.4223792737596951,0.6950420625149789
2005,0,all,random,5000,2,391248,96240,96240,24.698313646103504,12.6808829981712,0.0432084368301217,8.068499870643535,36.49662008174111,86.07276426756984,0.6728837206473388,0.8215147271681332
2005,0,all,spatial_coverage,5000,2,391248,96240,96240,28.6379228973362,13.809939652936244,0.7399493948544897,8.756403936111894,36.905510598397015,98.49026177688005,0.5602046978998175,0.7514998102392816
2005,0,all,historical_density,5000,3,391248,96240,96240,33.12531294511243,17.469486349913876,-4.208173030924167,10.518114441586247,56.75644245817107,145.21245187366688,0.4115798523080266,0.6921757303653723
2005,0,all,random,5000,3,391248,96240,96240,26.17434389294005,13.476512217000185,1.021373333425407,8.609353254198055,37.33566793898848,103.73573018153414,0.6326169095389047,0.7957838626453013
2005,0,all,spatial_coverage,5000,3,391248,96240,96240,31.899126727135776,14.622964552225818,1.024153531408268,9.045347119751312,39.88752382703523,105.51161588758455,0.4543362003750282,0.7039809526523427
2005,0,all,historical_density,5000,4,391248,96240,96240,33.08846309177552,17.81816667544018,-5.199525305936189,10.790787619943076,58.47035647727963,135.7693679075002,0.4128882858660323,0.6929871887206451
2005,0,all,random,5000,4,391248,96240,96240,24.447110857772103,12.609065073513923,0.8283756986123528,7.91136713652412,37.24522386749021,84.17119602888147,0.6795039814918554,0.8251765866976122
