year,spatial_fold,evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,n_evaluation_domain,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
2005,0,all,historical_density,1000,0,391248,96240,96240,36.30051089611096,21.148018038489194,-4.346458181960784,13.745685149405546,63.88314827407231,150.3760266254801,0.2933684409341611,0.6326440754633167
2005,0,all,random,1000,0,391248,96240,96240,30.056447657771685,16.05417032006473,-0.0203641375387035,9.87498503073138,47.24972522606952,111.6674335318856,0.515556809359911,0.7181302549402084
2005,0,all,spatial_coverage,1000,0,391248,96240,96240,34.211185706048504,17.26755283208481,2.3461605478464502,10.097116412009626,50.30896965118611,156.61088011566713,0.3723698358826794,0.6549819304597859
2005,0,all,historical_density,1000,1,391248,96240,96240,34.91178201919896,20.44708125007348,-2.668381735912845,13.556085767684664,62.12016177972108,138.1110385286724,0.3464006832856292,0.6397431060729356
2005,0,all,random,1000,1,391248,96240,96240,28.291461519076304,16.036334324850106,-0.7073294829832428,10.495470949553235,46.96332585610396,102.4971460516876,0.5707816094220648,0.7557410607892341
2005,0,all,spatial_coverage,1000,1,391248,96240,96240,29.466089682229622,16.76287736267152,0.0875502186636776,10.879544951057085,48.454055473432,108.68079419671496,0.5344004331857759,0.7312186939020731
2005,0,all,historical_density,1000,2,391248,96240,96240,37.06131581476139,20.75977276175689,-4.8856907926570114,13.187864602660255,66.40201477133199,157.83128754460026,0.2634381455220831,0.6234361133887109
2005,0,all,random,1000,2,391248,96240,96240,27.29659683254118,14.772496758143763,0.6150685237211874,9.424942098031806,42.89497094766647,95.7668405201928,0.6004376437131673,0.7771914233156684
2005,0,all,spatial_coverage,1000,2,391248,96240,96240,30.699328346746217,17.274333749776186,-0.5645478507977219,10.992064074225766,49.99261415871469,111.1291973295627,0.4946115613232151,0.7141528409506152
2005,0,all,historical_density,1000,3,391248,96240,96240,35.84810516337649,19.957814328418028,-4.644888469455712,12.609093868842734,63.93016662615356,147.26204916399848,0.3108718909789377,0.6510284870915339
2005,0,all,random,1000,3,391248,96240,96240,35.21252375267399,17.653261460994432,2.709437196308247,9.986186221646818,52.66220680987623,176.55307181535966,0.3350915368277825,0.6182715195288135
2005,0,all,spatial_coverage,1000,3,391248,96240,96240,34.516617868923795,17.937828463134004,2.653186031599604,10.92301556639194,50.5929303750544,161.17848783373245,0.3611130401002447,0.6344859016289407
2005,0,all,historical_density,1000,4,391248,96240,96240,33.343198266600126,18.89664959686782,-2.848572726352732,11.834685903015156,57.78674047838607,131.6169172189172,0.4038136002811183,0.6627370509719988
2005,0,all,random,1000,4,391248,96240,96240,28.75449106465743,15.75678251082182,0.7557573302506563,10.146166138235174,45.38680362256831,110.89868933495204,0.5566171144213226,0.7473809717803863
2005,0,all,spatial_coverage,1000,4,391248,96240,96240,28.660431293580206,15.9187111537515,1.5660698931354775,10.251782915552724,46.665533406665375,111.01356754442914,0.5595130990623022,0.7494406317226117
2005,0,all,historical_density,1000,5,391248,96240,96240,33.17992796325728,19.19091049367676,-3.01324498252218,12.387693027939632,58.84925639083581,127.50592039645068,0.4096379494785319,0.6625651562169341
2005,0,all,random,1000,5,391248,96240,96240,28.36099061224984,15.09074260250688,0.3530875969732552,9.632722868538792,42.2913630476389,104.0800854693932,0.5686693228772024,0.7541735428338345
2005,0,all,spatial_coverage,1000,5,391248,96240,96240,29.89224582605171,16.859479274844805,0.8546698237524142,11.02428888143686,47.89671706304831,105.64561628814516,0.5208354886264033,0.7223911946079035
2005,0,all,historical_density,1000,6,391248,96240,96240,34.77123903392869,20.707852677376547,-3.16111193688298,13.546813547056187,62.6610344695189,132.92003443874816,0.3516524291241607,0.6434094350257734
2005,0,all,random,1000,6,391248,96240,96240,27.932191258247403,14.993237191879572,-0.7303336781865434,9.60615125816281,43.81973322034803,109.03145510090113,0.5816135902319215,0.7630628832644677
2005,0,all,spatial_coverage,1000,6,391248,96240,96240,27.808671035884057,15.705321710050892,1.2739765354293366,10.083496173613014,45.3144753552921,107.4903837238366,0.5853057399420452,0.766201273486958
2005,0,all,historical_density,1000,7,391248,96240,96240,36.70663992493341,20.558492986211085,-4.816548417465062,12.560139589995742,67.80966795249222,138.5018759860042,0.2774684459427214,0.628805610503909
