year,evaluation_domain,budget,comparison,metric,n_seeds,mean_difference,sd_difference,seed_bootstrap_low,seed_bootstrap_high,fraction_difference_below_zero
2005,all,500,historical_density_minus_random,mae,20,5.224354155888936,1.0530438846714505,4.786519198796837,5.671767537154834,0.0
2005,all,500,historical_density_minus_random,median_absolute_error,20,3.019747952933268,0.6071190065571102,2.7633798348972327,3.2789155621525645,0.0
2005,all,500,historical_density_minus_random,p95_absolute_error,20,20.899750868457048,7.342914737781503,17.96080606177652,24.186008301517994,0.0
2005,all,500,historical_density_minus_random,p99_absolute_error,20,33.30628797230396,14.75987952236387,27.244179317821036,39.68032238610882,0.0
2005,all,500,historical_density_minus_random,rmse,20,8.073452438003281,1.9571796407446818,7.288280244366196,8.933283969194315,0.0
2005,all,500,spatial_coverage_minus_random,mae,20,1.125990152489476,2.33111181709847,0.4213969450442239,2.232025862375528,0.15
2005,all,500,spatial_coverage_minus_random,median_absolute_error,20,0.8753622133834043,1.0085970418190195,0.5007659737407204,1.35880369928073,0.1
2005,all,500,spatial_coverage_minus_random,p95_absolute_error,20,3.0674881123283813,10.286646776535106,-0.015417880594471417,8.041444699422836,0.4
2005,all,500,spatial_coverage_minus_random,p99_absolute_error,20,5.026473921514241,25.829449423547167,-3.817937036073705,17.784748088753588,0.5
2005,all,500,spatial_coverage_minus_random,rmse,20,1.1964029868977932,5.005323918434377,-0.27195939644068096,3.6121296876155444,0.45
2005,all,1000,historical_density_minus_random,mae,20,4.923005163197272,1.1391155560753436,4.371626940590013,5.3437992109341135,0.0
2005,all,1000,historical_density_minus_random,median_absolute_error,20,2.735908457440786,0.46252408542580464,2.5388446249935215,2.927373059670114,0.0
2005,all,1000,historical_density_minus_random,p95_absolute_error,20,20.47582372834379,5.4181291850903115,18.020228465046944,22.688187296801512,0.0
2005,all,1000,historical_density_minus_random,p99_absolute_error,20,37.52828312756063,15.201596173227403,30.486840617433234,43.67927754899814,0.05
2005,all,1000,historical_density_minus_random,rmse,20,7.455708667752281,3.2685411050080644,5.864691353429736,8.53780797031051,0.05
2005,all,1000,spatial_coverage_minus_random,mae,20,0.8067884576812077,1.6223742357643534,0.11272835051334591,1.5099695900450822,0.25
2005,all,1000,spatial_coverage_minus_random,median_absolute_error,20,0.6942268763777477,0.48061035008221226,0.5006142140492907,0.9150059934598308,0.0
2005,all,1000,spatial_coverage_minus_random,p95_absolute_error,20,2.385778211714403,5.853121629845749,-0.11248198255793464,4.934161502122942,0.35
2005,all,1000,spatial_coverage_minus_random,p99_absolute_error,20,2.03155029985347,23.945204706267287,-8.053380822202238,12.561183190110643,0.5
2005,all,1000,spatial_coverage_minus_random,rmse,20,0.2807121243030279,4.598610887676421,-1.8144673094331807,2.1951782368277057,0.65
2005,all,2500,historical_density_minus_random,mae,20,5.088358926662781,1.3754069259068444,4.478903677262123,5.629203639218639,0.0
2005,all,2500,historical_density_minus_random,median_absolute_error,20,2.316546694738105,0.4905369744402452,2.10213446174186,2.517935067790973,0.0
2005,all,2500,historical_density_minus_random,p95_absolute_error,20,24.241290824767468,6.066438980474578,21.60870190213106,26.8227409980948,0.0
2005,all,2500,historical_density_minus_random,p99_absolute_error,20,42.50380991507896,23.31832024618888,31.495463775613597,51.2911976940084,0.1
2005,all,2500,historical_density_minus_random,rmse,20,7.675372171952047,3.76843262221561,5.945523295054028,9.17479859787525,0.15
2005,all,2500,spatial_coverage_minus_random,mae,20,0.33769173383193224,1.1136423679351346,-0.17943045629879237,0.7815722308652832,0.2
2005,all,2500,spatial_coverage_minus_random,median_absolute_error,20,0.6291636327979034,0.3244141634120036,0.48580007500147826,0.761136087305169,0.05
2005,all,2500,spatial_coverage_minus_random,p95_absolute_error,20,0.41641473186807987,2.748722227685176,-0.8292322615786581,1.5052267079391086,0.35
2005,all,2500,spatial_coverage_minus_random,p99_absolute_error,20,-10.097599647891059,22.270353076348606,-20.37006704719722,-1.6400886430424544,0.7
2005,all,2500,spatial_coverage_minus_random,rmse,20,-1.355465552995635,3.545371042131093,-2.959718306417333,0.09107619977048995,0.65
2005,all,5000,historical_density_minus_random,mae,20,5.27003544921075,0.7912421376143787,4.908366302808081,5.588822403262571,0.0
2005,all,5000,historical_density_minus_random,median_absolute_error,20,1.9301485256845496,0.27577023606326195,1.8075891009377403,2.0453202605053544,0.0
2005,all,5000,historical_density_minus_random,p95_absolute_error,20,26.434895557619217,3.6368848647405607,24.851801719468767,27.95609858000435,0.0
2005,all,5000,historical_density_minus_random,p99_absolute_error,20,51.64319138866826,11.730316170509928,46.44131724069766,56.3823520410841,0.0
2005,all,5000,historical_density_minus_random,rmse,20,8.940758147150845,2.2826930950121875,7.905075506511187,9.857476431207274,0.0
2005,all,5000,spatial_coverage_minus_random,mae,20,0.4655885004643639,0.6485133834584027,0.18266533387450154,0.7335741219778159,0.25
2005,all,5000,spatial_coverage_minus_random,median_absolute_error,20,0.6374968859195207,0.21241727922590561,0.5451705469087778,0.7283713809658581,0.0
2005,all,5000,spatial_coverage_minus_random,p95_absolute_error,20,1.1832992849143118,1.3855366963288456,0.5741020471823935,1.760418537977,0.25
2005,all,5000,spatial_coverage_minus_random,p99_absolute_error,20,-5.692824826237535,9.272166522341944,-9.864446570481984,-1.9053280639896348,0.75
2005,all,5000,spatial_coverage_minus_random,rmse,20,-1.463788591170939,2.0199559438880326,-2.370445694269476,-0.6659461024075415,0.85
2005,spco2_le_threshold,500,historical_density_minus_random,mae,20,5.2080238125632645,1.0537366974920874,4.7702743230356885,5.662563072519487,0.0
2005,spco2_le_threshold,500,historical_density_minus_random,median_absolute_error,20,3.0194076939767074,0.6071150774961612,2.7625430093294754,3.273556867959653,0.0
2005,spco2_le_threshold,500,historical_density_minus_random,p95_absolute_error,20,20.845642240259075,7.318230143897838,17.94087067030958,24.14971087392606,0.0
2005,spco2_le_threshold,500,historical_density_minus_random,p99_absolute_error,20,33.19041349881826,14.886308182486552,27.05513958939213,39.76031432974505,0.0
2005,spco2_le_threshold,500,historical_density_minus_random,rmse,20,8.731828765937383,2.304070539346044,7.822928393968879,9.756154557976455,0.0
2005,spco2_le_threshold,500,spatial_coverage_minus_random,mae,20,1.1314116154054084,2.338603284432482,0.4250806928007283,2.2790726182658707,0.15
2005,spco2_le_threshold,500,spatial_coverage_minus_random,median_absolute_error,20,0.8751769615462877,1.0084986884139209,0.4982445352598455,1.3461637023251412,0.1
2005,spco2_le_threshold,500,spatial_coverage_minus_random,p95_absolute_error,20,3.063591770677065,10.249650194422657,0.009192683760903833,8.1929882312419,0.4
2005,spco2_le_threshold,500,spatial_coverage_minus_random,p99_absolute_error,20,4.912056254057812,25.745486001278863,-3.983467784672798,17.584068341648678,0.5
2005,spco2_le_threshold,500,spatial_coverage_minus_random,rmse,20,1.5622627383524903,5.843962957110532,-0.16617447959045528,4.356049134137251,0.35
2005,spco2_le_threshold,1000,historical_density_minus_random,mae,20,4.903670664181538,1.143833337147446,4.332594185534025,5.32387020292183,0.0
2005,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,20,2.7353901558716673,0.4630224359672066,2.53632776248338,2.932533086399297,0.0
2005,spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,20,20.415131406617512,5.395121984719734,17.99253683469598,22.62548462622779,0.0
2005,spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,20,37.57962104489151,14.923379438218838,30.772856908645736,43.67179283667997,0.05
2005,spco2_le_threshold,1000,historical_density_minus_random,rmse,20,8.090762702966982,3.9441110376160604,6.132617268468095,9.415719656515924,0.05
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,mae,20,0.816676148875568,1.6362292507095741,0.1244283435148622,1.5327829709479153,0.25
