year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,0,random,5000,14,778,3783,12,0.1172,8.2548
2005,0,spatial_coverage,5000,14,822,5000,12,0.1034,10.5568
2005,0,historical_density,5000,15,492,1847,12,1.0,380.027
2005,0,random,5000,15,776,3819,12,0.1096,6.7856
2005,0,spatial_coverage,5000,15,822,5000,12,0.1038,8.9222
2005,0,historical_density,5000,16,499,1852,12,1.0,378.7578
2005,0,random,5000,16,775,3806,12,0.116,9.848
2005,0,spatial_coverage,5000,16,822,5000,12,0.1036,9.1462
2005,0,historical_density,5000,17,508,1879,12,1.0,381.9808
2005,0,random,5000,17,774,3830,12,0.1104,10.8088
2005,0,spatial_coverage,5000,17,822,5000,12,0.1034,9.7602
2005,0,historical_density,5000,18,507,1842,12,1.0,380.5218
2005,0,random,5000,18,780,3809,12,0.1038,7.8284
2005,0,spatial_coverage,5000,18,822,5000,12,0.0974,8.4322
2005,0,historical_density,5000,19,502,1836,12,1.0,380.5496
2005,0,random,5000,19,775,3817,12,0.1208,9.676
2005,0,spatial_coverage,5000,19,822,5000,12,0.1048,10.8744
2005,1,historical_density,1000,0,313,677,12,1.0,721.329
2005,1,random,1000,0,540,945,12,0.13,17.244
2005,1,spatial_coverage,1000,0,586,1000,12,0.091,10.593
2005,1,historical_density,1000,1,308,692,12,1.0,713.811
2005,1,random,1000,1,541,955,12,0.122,10.463
2005,1,spatial_coverage,1000,1,604,1000,12,0.101,12.615
2005,1,historical_density,1000,2,299,677,12,1.0,703.908
2005,1,random,1000,2,559,942,12,0.125,11.171
2005,1,spatial_coverage,1000,2,601,1000,12,0.095,8.186
2005,1,historical_density,1000,3,317,675,12,1.0,691.933
2005,1,random,1000,3,554,947,12,0.097,12.319
2005,1,spatial_coverage,1000,3,600,1000,12,0.114,10.454
2005,1,historical_density,1000,4,312,668,12,1.0,723.235
2005,1,random,1000,4,534,948,12,0.11,7.33
2005,1,spatial_coverage,1000,4,588,1000,12,0.112,8.265
2005,1,historical_density,1000,5,304,652,12,1.0,740.152
2005,1,random,1000,5,538,947,12,0.108,22.412
2005,1,spatial_coverage,1000,5,598,1000,12,0.108,11.849
2005,1,historical_density,1000,6,310,678,12,1.0,727.839
2005,1,random,1000,6,541,941,12,0.095,10.14
2005,1,spatial_coverage,1000,6,591,1000,12,0.122,11.872
2005,1,historical_density,1000,7,315,673,12,1.0,697.887
2005,1,random,1000,7,548,949,12,0.107,21.157
2005,1,spatial_coverage,1000,7,595,1000,12,0.114,14.948
2005,1,historical_density,1000,8,301,668,12,1.0,690.832
2005,1,random,1000,8,542,937,12,0.103,7.238
2005,1,spatial_coverage,1000,8,609,1000,12,0.098,9.718
2005,1,historical_density,1000,9,315,698,12,1.0,726.618
2005,1,random,1000,9,539,944,12,0.124,10.136
2005,1,spatial_coverage,1000,9,598,1000,12,0.103,8.266
2005,1,historical_density,1000,10,299,667,12,1.0,734.953
2005,1,random,1000,10,548,947,12,0.106,5.86
2005,1,spatial_coverage,1000,10,585,1000,12,0.092,5.885
2005,1,historical_density,1000,11,305,661,12,1.0,694.551
2005,1,random,1000,11,533,942,12,0.13,9.791
2005,1,spatial_coverage,1000,11,604,1000,12,0.101,9.525
2005,1,historical_density,1000,12,303,663,12,1.0,751.701
2005,1,random,1000,12,552,942,12,0.113,8.675
2005,1,spatial_coverage,1000,12,596,1000,12,0.096,8.601
2005,1,historical_density,1000,13,296,661,12,1.0,719.354
2005,1,random,1000,13,557,948,12,0.119,9.458
2005,1,spatial_coverage,1000,13,601,1000,12,0.098,9.07
2005,1,historical_density,1000,14,319,681,12,1.0,712.328
2005,1,random,1000,14,554,950,12,0.103,5.177
2005,1,spatial_coverage,1000,14,596,1000,12,0.11,13.69
2005,1,historical_density,1000,15,302,663,12,1.0,746.604
2005,1,random,1000,15,557,952,12,0.099,17.994
2005,1,spatial_coverage,1000,15,596,1000,12,0.108,10.195
2005,1,historical_density,1000,16,311,680,12,1.0,723.973
2005,1,random,1000,16,554,949,12,0.111,8.876
