strategy,budget,n_year_fold_seed_selections,minimum_months_covered,mean_month_count_cv,mean_abs_equal_deviation_pp,mean_max_abs_equal_deviation_pp,maximum_abs_equal_deviation_pp,mean_max_abs_candidate_deviation_pp
historical_density,1000,300,12,0.15870410759571107,1.0721666666666665,2.6133333333333333,4.366666666666667,2.6133333333333333
random,1000,300,12,0.10595988643903079,0.7240555555555555,1.7926666666666664,3.0666666666666673,1.7926666666666664
spatial_coverage,1000,300,12,0.09775647814343098,0.6560555555555555,1.6633333333333333,3.6666666666666665,1.6633333333333333
historical_density,5000,300,12,0.13721980859416236,0.8754444444444445,2.5064000000000006,3.6666666666666665,2.5064000000000006
random,5000,300,12,0.04375573937031257,0.2918444444444444,0.7543333333333334,1.0333333333333332,0.7543333333333334
spatial_coverage,5000,300,12,0.032513397181350996,0.22221111111111108,0.5322666666666667,0.9466666666666665,0.5322666666666667
