year,evaluation_domain,strategy,budget,mean_rmse,sd_rmse,mean_mae,mean_median_absolute_error,mean_p95_absolute_error,mean_p99_absolute_error,mean_r2,mean_correlation,n_seeds
2005,all,random,500,32.24355183901281,0.9591521864106596,16.56881479431581,10.960038422538666,48.337051377177964,95.33167869376744,0.4779153808295968,0.6920441160237012,20
2005,all,spatial_coverage,500,33.439954825910604,4.868971086403094,17.694804946805284,11.83540063592207,51.40453948950635,100.35815261528168,0.42762389547499097,0.6761756682219712,20
2005,all,historical_density,500,40.31700427701609,1.9363125332835487,21.793168950204745,13.979786375471935,69.236802245635,128.6379666660714,0.18263254466124698,0.5598678582820056,20
2005,all,random,1000,30.41108298369435,3.20728726326788,14.082186642321403,8.901684931039153,41.05211077333526,87.86510653583613,0.5310582193626627,0.736133361927146,20
2005,all,spatial_coverage,1000,30.691795107997375,3.031561519220574,14.888975100002611,9.5959118074169,43.43788898504967,89.8966568356896,0.5229745684101456,0.7325341024163473,20
2005,all,historical_density,1000,37.86679165144663,1.3804673954569817,19.005191805518677,11.637593388479939,61.52793450167904,125.39338966339676,0.2796306636498825,0.6111330977286235,20
2005,all,spatial_coverage,2500,27.215236103269017,1.788768301148991,12.312534181501942,8.140993817159945,34.274453848646715,70.13648433339839,0.6268416852852088,0.7938565785081695,20
2005,all,random,2500,28.570701656264653,3.334526004179414,11.97484244767001,7.511830184362042,33.858039116778635,80.23408398128944,0.5851262595251422,0.7721729714684635,20
2005,all,historical_density,2500,36.246073828216694,1.4224417964589393,17.06320137433279,9.828376879100146,58.0993299415461,122.7378938963684,0.3398432006941251,0.6485174197484262,20
2005,all,spatial_coverage,5000,25.036708121716178,0.8752722128813382,11.226228177438614,7.566812170480989,30.848005925599182,61.6495516799357,0.6851174344045653,0.8286072577595235,20
2005,all,random,5000,26.500496712887117,2.047275447624551,10.76063967697425,6.9293152845614685,29.66470664068487,67.34237650617322,0.6456326903035091,0.8058691335069794,20
2005,all,historical_density,5000,35.441254860037965,0.8438989569268047,16.030675126185002,8.859463810246018,56.09960219830409,118.98556789484148,0.3694170093025398,0.664759887814389,20
2005,spco2_le_threshold,random,500,26.333073517154407,1.1596514780834921,16.38549887548282,10.957851102532064,48.279415973023454,94.8620373574614,0.5794179758532901,0.7619613686377168,20
2005,spco2_le_threshold,spatial_coverage,500,27.895336255506898,5.772537405920983,17.51691049088823,11.833028064078352,51.34300774370051,99.77409361151922,0.5097369889672223,0.739556400686032,20
2005,spco2_le_threshold,historical_density,500,35.06490228309179,2.1780568137545604,21.593522688046086,13.977258796508773,69.12505821328253,128.05245085627968,0.2528936754394311,0.6306596445210193,20
2005,spco2_le_threshold,random,1000,24.143710206618927,3.8921079868029547,13.901987969180606,8.899887442131051,41.00339359130689,87.18283706511289,0.6383838090117799,0.8072874680135878,20
2005,spco2_le_threshold,spatial_coverage,1000,24.960479115095332,4.1044814552932465,14.718664118056177,9.593960845180998,43.38158292445483,89.30686735397192,0.6131261081105299,0.794651264199851,20
2005,spco2_le_threshold,historical_density,1000,32.234472909585904,1.545593783600812,18.805658633362146,11.63527759800272,61.41852499792441,124.7624581100044,0.3695700064686135,0.6868244580963339,20
2005,spco2_le_threshold,spatial_coverage,2500,21.364778689708743,2.817097585669544,12.154312818313668,8.139467194676763,34.23447844041788,69.71085664428304,0.7190948866372714,0.851002229100561,20
2005,spco2_le_threshold,random,2500,21.972403834704416,4.785589696206451,11.800430260512886,7.510722396363903,33.81132119728763,79.52702254043798,0.6945454073168567,0.8419918128907515,20
2005,spco2_le_threshold,historical_density,2500,30.452546684659886,1.6081728129729733,16.866257350385943,9.826711524636572,57.98892942503551,122.0805110318355,0.4370827859766515,0.7251687189442637,20
2005,spco2_le_threshold,spatial_coverage,5000,19.225465533256703,1.8179842394391623,11.076502379739345,7.565337883615887,30.810909038008354,61.28305707973508,0.7743290909917115,0.8811012454361302,20
2005,spco2_le_threshold,random,5000,19.814470319333665,3.4451642157716775,10.59324860755027,6.927838785866561,29.6263353425778,66.84126644522784,0.7554823777094262,0.872113043429336,20
2005,spco2_le_threshold,historical_density,5000,29.491384946640277,0.9609480830451717,15.833908879974425,8.857733709216996,55.99303666534515,118.33369098529624,0.4729202029778918,0.7431035186667134,20
2010,all,random,500,34.19836226283611,1.7342206176542503,17.32048800523759,11.217571033495625,51.12375670674096,101.24939318901161,0.42257275975911074,0.6534624270739935,20
2010,all,spatial_coverage,500,34.98359051367585,4.38606813896371,18.311833483128964,12.160611476998996,53.604679355287,101.99554880844276,0.38822309005405325,0.6449032627389386,20
2010,all,historical_density,500,40.99898570039592,2.167027529636815,21.784701381016067,13.996198086600657,68.54549418500292,123.82483131385752,0.16991169006138565,0.5425793547428043,20
2010,all,random,1000,32.08600419983245,1.7069772529097782,14.719541471954997,9.101873632558371,43.66717268723834,92.41249867664534,0.4915779527483388,0.7034105308300731,20
2010,all,spatial_coverage,1000,32.15361127118632,2.731033224618408,15.36298879825191,9.77940943095496,45.38117389845204,92.86967132734785,0.4873124110836555,0.7069357141155966,20
2010,all,historical_density,1000,39.43153514869085,1.9104345575726767,19.370833220702718,11.741871156989811,61.571670210495164,127.0667552237314,0.23249409163518883,0.5772498550277113,20
2010,all,spatial_coverage,2500,28.44509777395396,1.1132486037996463,12.67268827683246,8.309134548609938,35.93127550994491,72.44784959563596,0.6009077332280937,0.7762470765640057,20
2010,all,random,2500,29.582660236362404,1.7770211591791216,12.273197733837865,7.63770558236704,35.37484627140637,78.47426020221747,0.5674985055297802,0.7556884784328388,20
