regime,strategy,budget_fraction,n_train,occupied_coverage_cells,available_coverage_cells,coverage_cell_count_cv,seed
spatial_fold_2,random,0.2,7917,221,223,1.7276720754826909,0
spatial_fold_2,coverage,0.2,7917,223,223,0.7510125118877623,1
spatial_fold_2,random,0.2,7917,221,223,1.7563610402360923,1
spatial_fold_2,coverage,0.2,7917,223,223,0.7418130629937246,2
spatial_fold_2,random,0.2,7917,222,223,1.738509197402911,2
spatial_fold_2,coverage,0.2,7917,223,223,0.7464078939736614,3
spatial_fold_2,random,0.2,7917,221,223,1.6863035632490764,3
spatial_fold_2,coverage,0.2,7917,223,223,0.757991378933424,4
spatial_fold_2,random,0.2,7917,222,223,1.7261001048810305,4
spatial_fold_2,coverage,0.2,7917,223,223,0.7092372433344019,5
spatial_fold_2,random,0.2,7917,222,223,1.6959180853900404,5
spatial_fold_2,coverage,0.2,7917,223,223,0.76112501556855,6
spatial_fold_2,random,0.2,7917,219,223,1.7367770160687608,6
spatial_fold_2,coverage,0.2,7917,223,223,0.7625820394978633,7
spatial_fold_2,random,0.2,7917,220,223,1.7005982704653222,7
spatial_fold_2,coverage,0.2,7917,223,223,0.7279669695278691,8
spatial_fold_2,random,0.2,7917,222,223,1.7175020876931222,8
spatial_fold_2,coverage,0.2,7917,223,223,0.7050310615550266,9
spatial_fold_2,random,0.2,7917,221,223,1.6873982106171308,9
spatial_fold_2,coverage,0.2,7917,223,223,0.7324835158171875,10
spatial_fold_2,random,0.2,7917,221,223,1.7440442885735798,10
spatial_fold_2,coverage,0.2,7917,223,223,0.7334640133663407,11
spatial_fold_2,random,0.2,7917,222,223,1.716536494233786,11
spatial_fold_2,coverage,0.2,7917,223,223,0.7490724256876282,12
spatial_fold_2,random,0.2,7917,222,223,1.753409176814384,12
spatial_fold_2,coverage,0.2,7917,223,223,0.7044252421242673,13
spatial_fold_2,random,0.2,7917,221,223,1.680199320909582,13
spatial_fold_2,coverage,0.2,7917,223,223,0.7303529650018945,14
spatial_fold_2,random,0.2,7917,219,223,1.7010103636668066,14
spatial_fold_2,coverage,0.2,7917,223,223,0.7580336214433776,15
spatial_fold_2,random,0.2,7917,221,223,1.7398164038879085,15
spatial_fold_2,coverage,0.2,7917,223,223,0.7246948775658767,16
spatial_fold_2,random,0.2,7917,220,223,1.7241470549755096,16
spatial_fold_2,coverage,0.2,7917,223,223,0.7258819799859325,17
spatial_fold_2,random,0.2,7917,221,223,1.7101844383787124,17
spatial_fold_2,coverage,0.2,7917,223,223,0.7396228035755428,18
spatial_fold_2,random,0.2,7917,221,223,1.7667383021808163,18
spatial_fold_2,coverage,0.2,7917,223,223,0.7106304337947613,19
spatial_fold_2,random,0.2,7917,223,223,1.7077278371526952,19
spatial_fold_3,coverage,0.2,8684,218,218,0.7045041106262064,0
spatial_fold_3,random,0.2,8684,215,218,1.7053888010495342,0
spatial_fold_3,coverage,0.2,8684,218,218,0.7323368488927667,1
spatial_fold_3,random,0.2,8684,216,218,1.7267889880469782,1
spatial_fold_3,coverage,0.2,8684,218,218,0.7048897153527475,2
spatial_fold_3,random,0.2,8684,216,218,1.7092746118257307,2
spatial_fold_3,coverage,0.2,8684,218,218,0.7071008176440343,3
spatial_fold_3,random,0.2,8684,215,218,1.6918693972492818,3
spatial_fold_3,coverage,0.2,8684,218,218,0.7065077753248875,4
spatial_fold_3,random,0.2,8684,215,218,1.66264881370954,4
spatial_fold_3,coverage,0.2,8684,218,218,0.7159294301252308,5
spatial_fold_3,random,0.2,8684,213,218,1.6818063487060564,5
spatial_fold_3,coverage,0.2,8684,218,218,0.7347565263300071,6
spatial_fold_3,random,0.2,8684,217,218,1.7006223196614492,6
spatial_fold_3,coverage,0.2,8684,218,218,0.7399394619711105,7
spatial_fold_3,random,0.2,8684,215,218,1.718416679779714,7
spatial_fold_3,coverage,0.2,8684,218,218,0.7260334298541397,8
spatial_fold_3,random,0.2,8684,216,218,1.7314183249776685,8
spatial_fold_3,coverage,0.2,8684,218,218,0.7041100835805707,9
spatial_fold_3,random,0.2,8684,217,218,1.6848425551153094,9
spatial_fold_3,coverage,0.2,8684,218,218,0.7133081257886358,10
spatial_fold_3,random,0.2,8684,215,218,1.686204321377878,10
spatial_fold_3,coverage,0.2,8684,218,218,0.7218886734111445,11
spatial_fold_3,random,0.2,8684,217,218,1.6975325967728891,11
spatial_fold_3,coverage,0.2,8684,218,218,0.7108317071675986,12
spatial_fold_3,random,0.2,8684,217,218,1.67488917607766,12
spatial_fold_3,coverage,0.2,8684,218,218,0.744010862110501,13
spatial_fold_3,random,0.2,8684,216,218,1.7342860085404042,13
spatial_fold_3,coverage,0.2,8684,218,218,0.6916502037391987,14
spatial_fold_3,random,0.2,8684,216,218,1.657618195119082,14
spatial_fold_3,coverage,0.2,8684,218,218,0.7203131917321705,15
spatial_fold_3,random,0.2,8684,214,218,1.7083204866496426,15
spatial_fold_3,coverage,0.2,8684,218,218,0.7373603890580551,16
spatial_fold_3,random,0.2,8684,215,218,1.7330704499501015,16
spatial_fold_3,coverage,0.2,8684,218,218,0.7137497285470009,17
spatial_fold_3,random,0.2,8684,215,218,1.700244912482901,17
spatial_fold_3,coverage,0.2,8684,218,218,0.7480485102865538,18
spatial_fold_3,random,0.2,8684,215,218,1.7368726953296387,18
spatial_fold_3,coverage,0.2,8684,218,218,0.7011931734952697,19
spatial_fold_3,random,0.2,8684,217,218,1.6788421381596332,19
spatial_fold_4,coverage,0.2,7249,214,214,0.681820062318458,0
spatial_fold_4,random,0.2,7249,212,214,1.635006768382003,0
spatial_fold_4,coverage,0.2,7249,214,214,0.7021939610175139,1
spatial_fold_4,random,0.2,7249,212,214,1.6758950088463946,1
spatial_fold_4,coverage,0.2,7249,214,214,0.7100204464154969,2
spatial_fold_4,random,0.2,7249,211,214,1.663551192389352,2
spatial_fold_4,coverage,0.2,7249,214,214,0.6803192037167817,3
spatial_fold_4,random,0.2,7249,208,214,1.636863846940022,3
spatial_fold_4,coverage,0.2,7249,214,214,0.7012363686941752,4
spatial_fold_4,random,0.2,7249,208,214,1.6710961285417996,4
spatial_fold_4,coverage,0.2,7249,214,214,0.7116017398181249,5
spatial_fold_4,random,0.2,7249,212,214,1.697638759066313,5
spatial_fold_4,coverage,0.2,7249,214,214,0.7355554875181414,6
spatial_fold_4,random,0.2,7249,213,214,1.710934180225134,6
spatial_fold_4,coverage,0.2,7249,214,214,0.6813958519582539,7
spatial_fold_4,random,0.2,7249,210,214,1.633454265895647,7
spatial_fold_4,coverage,0.2,7249,214,214,0.7563019399814591,8
spatial_fold_4,random,0.2,7249,210,214,1.7001413668811978,8
spatial_fold_4,coverage,0.2,7249,214,214,0.6894761905290941,9
spatial_fold_4,random,0.2,7249,210,214,1.662071908662128,9
spatial_fold_4,coverage,0.2,7249,214,214,0.711017758459054,10
spatial_fold_4,random,0.2,7249,212,214,1.651743931998518,10
spatial_fold_4,coverage,0.2,7249,214,214,0.6804688400623843,11
spatial_fold_4,random,0.2,7249,210,214,1.6237444565106245,11
