evaluation_domain,budget,comparison,metric,n_years,years,mean_of_year_effects,minimum_year_effect,maximum_year_effect,years_effect_below_zero,years_effect_above_zero,years_interval_entirely_below_zero,years_interval_entirely_above_zero
all,5000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-1.1029759514718718,-1.463788591170939,-0.6921011818655775,3,0,3,0
spco2_le_threshold,500,historical_density_minus_random,mae,3,2005;2010;2014,4.803275883455414,4.450744691027855,5.2080238125632645,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.9630926633292454,2.77811648683695,3.091753809174078,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,18.702148520742856,17.381968354568347,20.845642240259075,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,27.39132291096942,22.695665143289528,33.19041349881826,0,3,0,3
spco2_le_threshold,500,historical_density_minus_random,rmse,3,2005;2010;2014,7.793662000404276,7.246440088365408,8.731828765937383,0,3,0,3
spco2_le_threshold,500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.9492227561446184,0.7218941383481556,1.1314116154054084,0,3,0,3
spco2_le_threshold,500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.9033315575942723,0.8751769615462877,0.9427995733687823,0,3,0,3
spco2_le_threshold,500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,2.299749680065308,1.3659662164022488,3.063591770677065,0,3,0,1
spco2_le_threshold,500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,1.9213323486607745,0.05914528003233706,4.912056254057812,0,3,0,0
spco2_le_threshold,500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,1.0030866978829975,0.4122692081395279,1.5622627383524903,0,3,0,0
spco2_le_threshold,1000,historical_density_minus_random,mae,3,2005;2010;2014,4.869626188758468,4.63511027352666,5.070097628567205,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.709379461898848,2.6391265876949204,2.7536216421299557,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,19.854635930559613,17.86765017891612,21.28112620614521,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,37.14314625498373,34.50762451207619,39.3421932079835,0,3,0,3
spco2_le_threshold,1000,historical_density_minus_random,rmse,3,2005;2010;2014,8.214702206509267,8.074656019280418,8.478687897280402,0,3,0,3
spco2_le_threshold,1000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.6109175097821562,0.3699828787337399,0.816676148875568,0,3,0,2
spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6279226026616375,0.512519672757685,0.694073403049947,0,3,0,3
spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.8142470425400459,1.3511717904097544,2.378189333147942,0,3,0,1
spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-0.07981204681591396,-2.8907560622809916,2.1240302888590366,1,2,0,0
spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,0.16473005521920484,-0.5504364535966205,0.8167689084764087,1,2,0,0
spco2_le_threshold,2500,historical_density_minus_random,mae,3,2005;2010;2014,5.388706601570154,5.065827089873058,5.844114562069633,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,2.3500189999167103,2.294689451170254,2.4393784203072073,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.14793183227626,23.363444810809334,27.902742458271575,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,50.97255240646168,42.55348849139752,59.425492357153175,0,3,0,3
spco2_le_threshold,2500,historical_density_minus_random,rmse,3,2005;2010;2014,9.937849383427775,8.480142849955469,11.33903069338841,0,3,0,3
spco2_le_threshold,2500,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.35144284551177624,0.2905706350966592,0.4098753436378867,0,3,0,2
spco2_le_threshold,2500,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.6180844940124387,0.5546063064240428,0.6709023773004134,0,3,0,3
spco2_le_threshold,2500,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,0.48438160509005074,0.4231572431302508,0.5620407120080593,0,3,0,0
spco2_le_threshold,2500,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-7.333828507377874,-9.816165896154933,-5.8736313696114735,3,0,3,0
spco2_le_threshold,2500,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-0.6695963055737121,-0.7702811460095036,-0.6076251449956763,3,0,1,0
spco2_le_threshold,5000,historical_density_minus_random,mae,3,2005;2010;2014,5.406063586051914,5.240660272424153,5.639868671738219,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,median_absolute_error,3,2005;2010;2014,1.987996543405042,1.9298949233504346,2.1012514113546006,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,p95_absolute_error,3,2005;2010;2014,25.561252104787513,23.509063808625104,26.807991182970085,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,p99_absolute_error,3,2005;2010;2014,60.39393898687308,51.492424540068384,68.6729558090158,0,3,0,3
spco2_le_threshold,5000,historical_density_minus_random,rmse,3,2005;2010;2014,10.94458256658472,9.676914627306616,11.637815273352942,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,mae,3,2005;2010;2014,0.5050742634916222,0.451079883760824,0.5808891345249683,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,median_absolute_error,3,2005;2010;2014,0.659282860061784,0.5936620577887866,0.74668742464724,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,p95_absolute_error,3,2005;2010;2014,1.0433554337574493,0.9369510989314108,1.1845736954305521,0,3,0,3
spco2_le_threshold,5000,spatial_coverage_minus_random,p99_absolute_error,3,2005;2010;2014,-4.911258136469573,-5.558209365492769,-4.1895660516815285,3,0,3,0
spco2_le_threshold,5000,spatial_coverage_minus_random,rmse,3,2005;2010;2014,-0.38249980309914805,-0.5890047860769639,-0.1514221536357022,3,0,0,0
