year,spatial_fold,evaluation_domain,budget,comparison,metric,n_seeds,mean_difference,sd_difference,seed_bootstrap_low,seed_bootstrap_high,fraction_difference_below_zero
2005,0,all,1000,historical_density_minus_random,mae,20,4.1061804717932,1.1583960051875182,3.588844352719742,4.584156374688301,0.0
2005,0,all,1000,historical_density_minus_random,median_absolute_error,20,2.7271892883303552,0.6415699950014452,2.4547550933473823,3.0095808995218016,0.0
2005,0,all,1000,historical_density_minus_random,p95_absolute_error,20,15.582513598458892,6.058003211422287,12.75886040104487,17.87392681255593,0.05
2005,0,all,1000,historical_density_minus_random,p99_absolute_error,20,25.2483916636,23.78473139117184,14.493353616506202,34.6375206740874,0.1
2005,0,all,1000,historical_density_minus_random,rmse,20,5.189460664209983,3.8571672314111822,3.3697506568363855,6.625786860992038,0.05
2005,0,all,1000,spatial_coverage_minus_random,mae,20,0.41550978989182197,1.3703301506545666,-0.2095877459686916,0.9623382668148404,0.2
2005,0,all,1000,spatial_coverage_minus_random,median_absolute_error,20,0.5050523547282783,0.6490923881982124,0.23150200683497177,0.7820575031459922,0.2
2005,0,all,1000,spatial_coverage_minus_random,p95_absolute_error,20,0.7665800165734126,5.809970149890322,-2.0451748103621736,2.8764853057680027,0.3
2005,0,all,1000,spatial_coverage_minus_random,p99_absolute_error,20,-4.198073546786263,19.366245379539784,-12.348930426045614,4.385964091109913,0.7
2005,0,all,1000,spatial_coverage_minus_random,rmse,20,-0.40257123072973755,4.148409406542627,-2.286794555016144,1.299310046835018,0.7
2005,0,all,5000,historical_density_minus_random,mae,20,4.504366344997425,0.6202108729185302,4.219480877491563,4.741508771648486,0.0
2005,0,all,5000,historical_density_minus_random,median_absolute_error,20,2.208929635830478,0.32538567199226165,2.0695531832685057,2.348202181828908,0.0
2005,0,all,5000,historical_density_minus_random,p95_absolute_error,20,22.137127475152074,3.3525532612597813,20.722850352247665,23.60920040616877,0.0
2005,0,all,5000,historical_density_minus_random,p99_absolute_error,20,39.84294745249159,14.401518622778571,32.830445624679015,45.130197410997816,0.05
2005,0,all,5000,historical_density_minus_random,rmse,20,7.170700060717678,2.1313882522932617,6.117291152416653,7.892470225820455,0.05
2005,0,all,5000,spatial_coverage_minus_random,mae,20,0.8332429842332129,0.8267397055964366,0.45159041193238203,1.1611486816766758,0.05
2005,0,all,5000,spatial_coverage_minus_random,median_absolute_error,20,0.6263806320141037,0.3502600537506,0.4786733043976048,0.775721225301761,0.05
2005,0,all,5000,spatial_coverage_minus_random,p95_absolute_error,20,1.2732784441682838,1.9325225899741207,0.3921327964491494,2.0337590560884453,0.2
2005,0,all,5000,spatial_coverage_minus_random,p99_absolute_error,20,2.7261059178398717,16.53746501074483,-4.656346894291876,9.410093578741341,0.3
2005,0,all,5000,spatial_coverage_minus_random,rmse,20,2.116931477681723,3.647256350960837,0.4252654769772668,3.6017577641421235,0.25
2005,0,spco2_le_threshold,1000,historical_density_minus_random,mae,20,4.09960905697482,1.1597059853691036,3.5737316080399455,4.5768411344499755,0.0
2005,0,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,20,2.726796568584786,0.641329960108497,2.4598401271205246,2.9984201396184984,0.0
