validation_scheme,year,spatial_fold,budget,domain,weighting,mean_bias_historical_density,mean_bias_random,mean_mae_historical_density,mean_mae_random,mean_rmse_historical_density,mean_rmse_random,mean_bias_difference,mean_mae_difference,mean_rmse_difference
whole_blocks,2005,3,5000,60_to_90n,equal_cell,-44.504492607429185,-0.4765689697961272,52.331321384762646,15.899392118365673,77.35531921458107,35.553956673751095,-44.02792363763306,36.43192926639697,41.80136254082998
whole_blocks,2005,3,5000,60_to_90n,spherical_cell_area,-37.14521331537669,-1.6481221007345794,46.268085541079344,16.966842888104424,77.6848312391152,40.84234331504064,-35.497091214642104,29.30124265297492,36.84248792407456
whole_blocks,2005,3,5000,global,equal_cell,-5.734692867995738,0.4537075895786007,18.120808405152847,12.026514733445893,49.83342893258974,39.99506302170977,-6.188400457574339,6.094293671706954,9.838365910879972
whole_blocks,2005,3,5000,global,spherical_cell_area,-2.0121037368090455,0.47254390378575417,14.542013546436872,11.479067811321196,43.064913467893774,37.00581730225806,-2.4846476405947997,3.062945735115676,6.059096165635715
whole_blocks,2005,3,5000,south_of_60n,equal_cell,-0.9605964945777193,0.5682614427900071,13.90814063161763,11.549610287142237,45.26224134308917,40.506737507592234,-1.5288579373677265,2.358530344475394,4.755503835496938
whole_blocks,2005,3,5000,south_of_60n,spherical_cell_area,-0.5937121141174629,0.5581592942655484,13.261170624250378,11.257515711621105,41.04679474286181,36.84164187487099,-1.1518714083830113,2.0036549126292726,4.205152867990826
whole_blocks,2005,4,5000,60_to_90n,equal_cell,-50.643334933588434,1.2033789986303567,55.40826678801542,19.94895618618925,77.31519186925448,41.203961571105744,-51.84671393221879,35.45931060182617,36.11123029814873
whole_blocks,2005,4,5000,60_to_90n,spherical_cell_area,-46.67890220396655,0.6681956099728915,53.08824294454452,23.460173647789144,80.66487594065003,47.585632782406435,-47.34709781393944,29.628069296755374,33.0792431582436
whole_blocks,2005,4,5000,global,equal_cell,-6.779866349627059,-0.8813146832134638,17.659151548819118,12.823888051735882,31.97187327421009,22.902231748247537,-5.898551666413595,4.835263497083236,9.069641525962552
whole_blocks,2005,4,5000,global,spherical_cell_area,-3.33389121206015,-1.5509314760193302,14.2102249738958,12.148140787818402,25.497302499943384,21.20547706238599,-1.7829597360408196,2.0620841860773975,4.291825437557392
