year,evaluation_domain,budget,seed,comparison,metric,difference
2005,all,500,8,historical_density_minus_random,p99_absolute_error,28.30820364843136
2005,all,500,9,spatial_coverage_minus_random,rmse,-0.23897550740396767
2005,all,500,9,spatial_coverage_minus_random,mae,0.22595036629834908
2005,all,500,9,spatial_coverage_minus_random,median_absolute_error,-0.16832786094644803
2005,all,500,9,spatial_coverage_minus_random,p95_absolute_error,1.9416196483571824
2005,all,500,9,spatial_coverage_minus_random,p99_absolute_error,4.660204631723218
2005,all,500,9,historical_density_minus_random,rmse,8.196955935695922
2005,all,500,9,historical_density_minus_random,mae,6.189683465723036
2005,all,500,9,historical_density_minus_random,median_absolute_error,3.636946635284062
2005,all,500,9,historical_density_minus_random,p95_absolute_error,22.537663055536726
2005,all,500,9,historical_density_minus_random,p99_absolute_error,26.523297289736362
2005,all,500,10,spatial_coverage_minus_random,rmse,0.4313005245603563
2005,all,500,10,spatial_coverage_minus_random,mae,1.5478583572127
2005,all,500,10,spatial_coverage_minus_random,median_absolute_error,1.75929023774097
2005,all,500,10,spatial_coverage_minus_random,p95_absolute_error,4.056759336501635
2005,all,500,10,spatial_coverage_minus_random,p99_absolute_error,-13.762899854905939
2005,all,500,10,historical_density_minus_random,rmse,5.675527322939843
2005,all,500,10,historical_density_minus_random,mae,4.3815524556231935
2005,all,500,10,historical_density_minus_random,median_absolute_error,3.585288581841354
2005,all,500,10,historical_density_minus_random,p95_absolute_error,14.704322469254258
2005,all,500,10,historical_density_minus_random,p99_absolute_error,5.605262356768378
2005,all,500,11,spatial_coverage_minus_random,rmse,-1.8378764535400478
2005,all,500,11,spatial_coverage_minus_random,mae,-0.393257971387758
2005,all,500,11,spatial_coverage_minus_random,median_absolute_error,0.43452622330707413
2005,all,500,11,spatial_coverage_minus_random,p95_absolute_error,-2.776543775345367
2005,all,500,11,spatial_coverage_minus_random,p99_absolute_error,-15.444922175302338
2005,all,500,11,historical_density_minus_random,rmse,6.842897969559161
2005,all,500,11,historical_density_minus_random,mae,3.824025951665771
2005,all,500,11,historical_density_minus_random,median_absolute_error,1.9817275927029812
2005,all,500,11,historical_density_minus_random,p95_absolute_error,17.866243111777372
2005,all,500,11,historical_density_minus_random,p99_absolute_error,32.61225550977561
2005,all,500,12,spatial_coverage_minus_random,rmse,-1.0516648363447345
2005,all,500,12,spatial_coverage_minus_random,mae,0.7966578553049093
2005,all,500,12,spatial_coverage_minus_random,median_absolute_error,1.4910301531452603
2005,all,500,12,spatial_coverage_minus_random,p95_absolute_error,-0.886594107349552
2005,all,500,12,spatial_coverage_minus_random,p99_absolute_error,-10.206151344334074
2005,all,500,12,historical_density_minus_random,rmse,9.064027771435239
2005,all,500,12,historical_density_minus_random,mae,6.341062597026513
2005,all,500,12,historical_density_minus_random,median_absolute_error,3.5748589758488833
2005,all,500,12,historical_density_minus_random,p95_absolute_error,25.592543270165358
2005,all,500,12,historical_density_minus_random,p99_absolute_error,41.78353337874289
2005,all,500,13,spatial_coverage_minus_random,rmse,1.6463033977079533
2005,all,500,13,spatial_coverage_minus_random,mae,1.099541826906698
2005,all,500,13,spatial_coverage_minus_random,median_absolute_error,0.6208315943408991
2005,all,500,13,spatial_coverage_minus_random,p95_absolute_error,0.725785455741196
2005,all,500,13,spatial_coverage_minus_random,p99_absolute_error,17.29136170308675
2005,all,500,13,historical_density_minus_random,rmse,6.571403238358556
2005,all,500,13,historical_density_minus_random,mae,4.479493872949792
2005,all,500,13,historical_density_minus_random,median_absolute_error,3.171874041481942
2005,all,500,13,historical_density_minus_random,p95_absolute_error,13.100477017973489
2005,all,500,13,historical_density_minus_random,p99_absolute_error,19.63755433331518
2005,all,500,14,spatial_coverage_minus_random,rmse,1.0047480845277335
2005,all,500,14,spatial_coverage_minus_random,mae,1.0705847657425274
2005,all,500,14,spatial_coverage_minus_random,median_absolute_error,0.4081580224991228
2005,all,500,14,spatial_coverage_minus_random,p95_absolute_error,4.188887416918803
