validation_scheme,year,spatial_fold,budget,domain,weighting,strategy,n_seeds,mean_bias,sd_bias,mean_mae,mean_rmse
hidden_cells_latitude_cap,2005,-1,5000,global,equal_cell,historical_density,20,-0.9997356632647977,0.2538215661305117,11.992753916706487,28.432837057507435
hidden_cells_latitude_cap,2005,-1,5000,global,equal_cell,random,20,0.02534824791135056,0.28222417340315314,9.673039238872168,24.032911891607277
hidden_cells_latitude_cap,2005,-1,5000,global,equal_cell,spatial_coverage,20,-0.05990689816461592,0.14778234655091005,9.817438044118092,21.82869570369683
hidden_cells_latitude_cap,2005,-1,5000,global,spherical_cell_area,historical_density,20,-0.6859596060522885,0.2971309457468184,11.522527648767202,26.575104327530358
hidden_cells_latitude_cap,2005,-1,5000,global,spherical_cell_area,random,20,0.03932709335297808,0.26234906983902856,9.328888687301383,22.528895975820753
hidden_cells_latitude_cap,2005,-1,5000,global,spherical_cell_area,spatial_coverage,20,0.014240976514012862,0.1563940249890843,9.508790332619107,20.519945538116893
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,equal_cell,historical_density,20,-0.9997356632647977,0.2538215661305117,11.992753916706487,28.432837057507435
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,equal_cell,random,20,0.02534824791135056,0.28222417340315314,9.673039238872168,24.032911891607277
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,equal_cell,spatial_coverage,20,-0.05990689816461592,0.14778234655091005,9.817438044118092,21.82869570369683
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.6859596060522885,0.2971309457468184,11.522527648767202,26.575104327530358
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,spherical_cell_area,random,20,0.03932709335297808,0.26234906983902856,9.328888687301383,22.528895975820753
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,0.014240976514012862,0.1563940249890843,9.508790332619107,20.519945538116893
hidden_cells_latitude_cap,2010,-1,5000,global,equal_cell,historical_density,20,-1.427511637241022,0.3567932102390995,12.26462482613355,24.608154314230667
hidden_cells_latitude_cap,2010,-1,5000,global,equal_cell,random,20,0.06735930869658424,0.23495658696794386,9.699930856193486,20.02871597123507
hidden_cells_latitude_cap,2010,-1,5000,global,equal_cell,spatial_coverage,20,0.06256916701861963,0.1893767996328401,9.882324175644865,18.0689650564035
hidden_cells_latitude_cap,2010,-1,5000,global,spherical_cell_area,historical_density,20,-1.0975025423794904,0.36870590993109825,11.873835511452054,23.524697286990303
hidden_cells_latitude_cap,2010,-1,5000,global,spherical_cell_area,random,20,0.08058450262052093,0.2519727733315372,9.431333192158245,19.261369645850003
hidden_cells_latitude_cap,2010,-1,5000,global,spherical_cell_area,spatial_coverage,20,0.11016863417367909,0.19185859485830847,9.661275961424376,17.509986645474843
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,equal_cell,historical_density,20,-1.427511637241022,0.3567932102390995,12.26462482613355,24.608154314230667
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,equal_cell,random,20,0.06735930869658424,0.23495658696794386,9.699930856193486,20.02871597123507
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,equal_cell,spatial_coverage,20,0.06256916701861963,0.1893767996328401,9.882324175644865,18.0689650564035
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,spherical_cell_area,historical_density,20,-1.0975025423794904,0.36870590993109825,11.873835511452054,23.524697286990303
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,spherical_cell_area,random,20,0.08058450262052093,0.2519727733315372,9.431333192158245,19.261369645850003
hidden_cells_latitude_cap,2010,-1,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,0.11016863417367909,0.19185859485830847,9.661275961424376,17.509986645474843
hidden_cells_latitude_cap,2014,-1,5000,global,equal_cell,historical_density,20,-1.03093739502522,0.30245198060986245,12.705009736088872,24.72999605310653
hidden_cells_latitude_cap,2014,-1,5000,global,equal_cell,random,20,-0.008246091455757061,0.2824410874634113,9.892107562277797,20.15095980516332
hidden_cells_latitude_cap,2014,-1,5000,global,equal_cell,spatial_coverage,20,-0.11048422021062565,0.20758945098625892,9.993681648687529,18.533969602397512
hidden_cells_latitude_cap,2014,-1,5000,global,spherical_cell_area,historical_density,20,-0.6299006693040872,0.3266523464752776,12.527620773365514,24.86997460309449
hidden_cells_latitude_cap,2014,-1,5000,global,spherical_cell_area,random,20,-0.02719351148839467,0.28030139468820253,9.764903084558757,20.50701207866144
hidden_cells_latitude_cap,2014,-1,5000,global,spherical_cell_area,spatial_coverage,20,-0.036540913336219324,0.22192699840068594,9.914337255147704,19.03293454831037
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,equal_cell,historical_density,20,-1.03093739502522,0.30245198060986245,12.705009736088872,24.72999605310653
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,equal_cell,random,20,-0.008246091455757061,0.2824410874634113,9.892107562277797,20.15095980516332
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,equal_cell,spatial_coverage,20,-0.11048422021062565,0.20758945098625892,9.993681648687529,18.533969602397512
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.6299006693040872,0.3266523464752776,12.527620773365514,24.86997460309449
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,spherical_cell_area,random,20,-0.02719351148839467,0.28030139468820253,9.764903084558757,20.50701207866144
hidden_cells_latitude_cap,2014,-1,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,-0.036540913336219324,0.22192699840068594,9.914337255147704,19.03293454831037
whole_blocks_latitude_cap,2005,0,5000,global,equal_cell,historical_density,20,0.32968878908198085,0.3596905545004716,13.375849376410056,22.77890808827368
whole_blocks_latitude_cap,2005,0,5000,global,equal_cell,random,20,1.2253558326555392,0.4097611003171989,11.845870105127107,22.487608339429528
whole_blocks_latitude_cap,2005,0,5000,global,equal_cell,spatial_coverage,20,0.8499156223670136,0.281502812132674,11.928926735605346,19.39245760950859
whole_blocks_latitude_cap,2005,0,5000,global,spherical_cell_area,historical_density,20,0.5755861945088665,0.38559855982030083,13.02956565872071,22.5814765259096
whole_blocks_latitude_cap,2005,0,5000,global,spherical_cell_area,random,20,1.2635031610400471,0.4260560245585557,11.47558142699268,21.944760008352795
whole_blocks_latitude_cap,2005,0,5000,global,spherical_cell_area,spatial_coverage,20,1.0012338047301972,0.2883693393246684,11.596779354597704,19.01434885086592
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,equal_cell,historical_density,20,0.32968878908198085,0.3596905545004716,13.375849376410056,22.77890808827368
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,equal_cell,random,20,1.2253558326555392,0.4097611003171989,11.845870105127107,22.487608339429528
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,equal_cell,spatial_coverage,20,0.8499156223670136,0.281502812132674,11.928926735605346,19.39245760950859
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,spherical_cell_area,historical_density,20,0.5755861945088665,0.38559855982030083,13.02956565872071,22.5814765259096
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,spherical_cell_area,random,20,1.2635031610400471,0.4260560245585557,11.47558142699268,21.944760008352795
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,1.0012338047301972,0.2883693393246684,11.596779354597704,19.01434885086592
whole_blocks_latitude_cap,2005,1,5000,global,equal_cell,historical_density,20,0.39221599985619654,0.6039943773589609,12.462821935710057,18.79631901779286
whole_blocks_latitude_cap,2005,1,5000,global,equal_cell,random,20,-1.054571810707395,0.6846942942724175,11.509394288641285,23.59064036554792
whole_blocks_latitude_cap,2005,1,5000,global,equal_cell,spatial_coverage,20,0.13017701792470987,0.43055504821794227,11.064031008122043,18.5356889196576
whole_blocks_latitude_cap,2005,1,5000,global,spherical_cell_area,historical_density,20,0.5142875648513766,0.5963814398210947,12.150654666737392,18.435704805944578
whole_blocks_latitude_cap,2005,1,5000,global,spherical_cell_area,random,20,-0.7520792651403772,0.6672418551582414,11.244336887468766,22.96468843966491
whole_blocks_latitude_cap,2005,1,5000,global,spherical_cell_area,spatial_coverage,20,0.5381702628799845,0.4362965512125075,10.888640834430362,18.20919601938013
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,equal_cell,historical_density,20,0.39221599985619654,0.6039943773589609,12.462821935710057,18.79631901779286
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,equal_cell,random,20,-1.054571810707395,0.6846942942724175,11.509394288641285,23.59064036554792
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,equal_cell,spatial_coverage,20,0.13017701792470987,0.43055504821794227,11.064031008122043,18.5356889196576
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,spherical_cell_area,historical_density,20,0.5142875648513766,0.5963814398210947,12.150654666737392,18.435704805944578
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,spherical_cell_area,random,20,-0.7520792651403772,0.6672418551582414,11.244336887468766,22.96468843966491
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,0.5381702628799845,0.4362965512125075,10.888640834430362,18.20919601938013
whole_blocks_latitude_cap,2005,2,5000,global,equal_cell,historical_density,20,-0.8955888776221477,0.7171400985077376,15.725933414339455,37.76346736266639
whole_blocks_latitude_cap,2005,2,5000,global,equal_cell,random,20,0.5985814656740919,1.0839905118739175,13.199948271332412,34.74661865912186
whole_blocks_latitude_cap,2005,2,5000,global,equal_cell,spatial_coverage,20,0.46382502750764,1.122676325968775,13.092934037613318,33.63537257942547
whole_blocks_latitude_cap,2005,2,5000,global,spherical_cell_area,historical_density,20,0.11189776624390928,0.6919951936663231,15.189940684875314,35.04670512709618
whole_blocks_latitude_cap,2005,2,5000,global,spherical_cell_area,random,20,0.9988456189430955,0.8607528995208958,12.801692428247884,32.31508325375004
whole_blocks_latitude_cap,2005,2,5000,global,spherical_cell_area,spatial_coverage,20,0.7931672959198631,0.9072010292157523,12.686325121185266,31.281541145019844
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,equal_cell,historical_density,20,-0.8955888776221477,0.7171400985077376,15.725933414339455,37.76346736266639
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,equal_cell,random,20,0.5985814656740919,1.0839905118739175,13.199948271332412,34.74661865912186
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,equal_cell,spatial_coverage,20,0.46382502750764,1.122676325968775,13.092934037613318,33.63537257942547
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,spherical_cell_area,historical_density,20,0.11189776624390928,0.6919951936663231,15.189940684875314,35.04670512709618
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,spherical_cell_area,random,20,0.9988456189430955,0.8607528995208958,12.801692428247884,32.31508325375004
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,0.7931672959198631,0.9072010292157523,12.686325121185266,31.281541145019844
whole_blocks_latitude_cap,2005,3,5000,global,equal_cell,historical_density,20,-1.2831834422804995,0.411313431895574,14.098820661913674,45.940149885659125
whole_blocks_latitude_cap,2005,3,5000,global,equal_cell,random,20,0.16713049390324222,0.2670038281538504,11.41153221653367,41.46925666566968
whole_blocks_latitude_cap,2005,3,5000,global,equal_cell,spatial_coverage,20,-0.07852079175080781,0.25745061125666646,11.44103704069909,38.47796351368946
whole_blocks_latitude_cap,2005,3,5000,global,spherical_cell_area,historical_density,20,-0.7508629165843114,0.4640711371929261,13.395494754957753,41.584935319168636
whole_blocks_latitude_cap,2005,3,5000,global,spherical_cell_area,random,20,0.21429482300660707,0.27917251064827475,11.039805864837799,37.652494342683305
whole_blocks_latitude_cap,2005,3,5000,global,spherical_cell_area,spatial_coverage,20,0.02780478350608371,0.24708021128867574,11.100552643274197,34.98607629749139
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,equal_cell,historical_density,20,-1.2831834422804995,0.411313431895574,14.098820661913674,45.940149885659125
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,equal_cell,random,20,0.16713049390324222,0.2670038281538504,11.41153221653367,41.46925666566968
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,equal_cell,spatial_coverage,20,-0.07852079175080781,0.25745061125666646,11.44103704069909,38.47796351368946
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,spherical_cell_area,historical_density,20,-0.7508629165843114,0.4640711371929261,13.395494754957753,41.584935319168636
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,spherical_cell_area,random,20,0.21429482300660707,0.27917251064827475,11.039805864837799,37.652494342683305
whole_blocks_latitude_cap,2005,3,5000,south_of_60n,spherical_cell_area,spatial_coverage,20,0.02780478350608371,0.24708021128867574,11.100552643274197,34.98607629749139
whole_blocks_latitude_cap,2005,4,5000,global,equal_cell,historical_density,20,-1.648173571564626,0.350705599626139,13.239260315541117,21.039002050721937
whole_blocks_latitude_cap,2005,4,5000,global,equal_cell,random,20,-0.9146051754318888,0.35912611896786667,12.081136229727687,20.169099824218456
whole_blocks_latitude_cap,2005,4,5000,global,equal_cell,spatial_coverage,20,-1.1250765362521578,0.41883573388956336,12.720969569680618,20.62672820942963
whole_blocks_latitude_cap,2005,4,5000,global,spherical_cell_area,historical_density,20,-1.6978539375480648,0.3484041534540049,12.680312356958911,20.572696080528637
whole_blocks_latitude_cap,2005,4,5000,global,spherical_cell_area,random,20,-1.4644636026265012,0.33465920948618155,11.656371196809678,19.66956849516918
whole_blocks_latitude_cap,2005,4,5000,global,spherical_cell_area,spatial_coverage,20,-1.5344120632984086,0.3708750209394406,12.353423962447701,20.20672666016295
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,equal_cell,historical_density,20,-1.648173571564626,0.350705599626139,13.239260315541117,21.039002050721937
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,equal_cell,random,20,-0.9146051754318888,0.35912611896786667,12.081136229727687,20.169099824218456
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,equal_cell,spatial_coverage,20,-1.1250765362521578,0.41883573388956336,12.720969569680618,20.62672820942963
whole_blocks_latitude_cap,2005,4,5000,south_of_60n,spherical_cell_area,historical_density,20,-1.6978539375480648,0.3484041534540049,12.680312356958911,20.572696080528637
