evaluation_domain,budget,seed,comparison,metric,difference
spco2_le_threshold,500,1,historical_density_minus_random,p99_absolute_error,68.98228706998509
spco2_le_threshold,500,2,spatial_coverage_minus_random,rmse,-0.10930898402674316
spco2_le_threshold,500,2,spatial_coverage_minus_random,mae,0.4149211493309508
spco2_le_threshold,500,2,spatial_coverage_minus_random,median_absolute_error,0.7332234520402494
spco2_le_threshold,500,2,spatial_coverage_minus_random,p95_absolute_error,-0.869055173489329
spco2_le_threshold,500,2,spatial_coverage_minus_random,p99_absolute_error,-5.367685413691177
spco2_le_threshold,500,2,historical_density_minus_random,rmse,9.837367472687696
spco2_le_threshold,500,2,historical_density_minus_random,mae,5.882030676793647
spco2_le_threshold,500,2,historical_density_minus_random,median_absolute_error,3.3689621966818777
spco2_le_threshold,500,2,historical_density_minus_random,p95_absolute_error,19.232119511003283
spco2_le_threshold,500,2,historical_density_minus_random,p99_absolute_error,42.386446300342214
spco2_le_threshold,1000,0,spatial_coverage_minus_random,rmse,-0.2780637018975902
spco2_le_threshold,1000,0,spatial_coverage_minus_random,mae,0.12917192784213327
spco2_le_threshold,1000,0,spatial_coverage_minus_random,median_absolute_error,0.24511100735557534
spco2_le_threshold,1000,0,spatial_coverage_minus_random,p95_absolute_error,-0.4404869225416661
spco2_le_threshold,1000,0,spatial_coverage_minus_random,p99_absolute_error,-5.369608611077339
spco2_le_threshold,1000,0,historical_density_minus_random,rmse,9.93165216565971
spco2_le_threshold,1000,0,historical_density_minus_random,mae,5.427771473949704
spco2_le_threshold,1000,0,historical_density_minus_random,median_absolute_error,2.275805410857231
spco2_le_threshold,1000,0,historical_density_minus_random,p95_absolute_error,26.583976099122857
spco2_le_threshold,1000,0,historical_density_minus_random,p99_absolute_error,42.38425679677212
spco2_le_threshold,1000,1,spatial_coverage_minus_random,rmse,1.061536515593346
spco2_le_threshold,1000,1,spatial_coverage_minus_random,mae,1.1797487850263408
spco2_le_threshold,1000,1,spatial_coverage_minus_random,median_absolute_error,1.106272780440662
spco2_le_threshold,1000,1,spatial_coverage_minus_random,p95_absolute_error,3.1774349238864517
spco2_le_threshold,1000,1,spatial_coverage_minus_random,p99_absolute_error,0.7160769786167975
spco2_le_threshold,1000,1,historical_density_minus_random,rmse,10.777473449539816
spco2_le_threshold,1000,1,historical_density_minus_random,mae,5.956915314683936
spco2_le_threshold,1000,1,historical_density_minus_random,median_absolute_error,2.9063442724902018
spco2_le_threshold,1000,1,historical_density_minus_random,p95_absolute_error,27.10054839854852
spco2_le_threshold,1000,1,historical_density_minus_random,p99_absolute_error,41.199962262497294
spco2_le_threshold,1000,2,spatial_coverage_minus_random,rmse,-0.32514218376040915
spco2_le_threshold,1000,2,spatial_coverage_minus_random,mae,0.26437139864055936
spco2_le_threshold,1000,2,spatial_coverage_minus_random,median_absolute_error,0.49863785665272076
spco2_le_threshold,1000,2,spatial_coverage_minus_random,p95_absolute_error,0.01933859045108477
spco2_le_threshold,1000,2,spatial_coverage_minus_random,p99_absolute_error,-4.029943005089365
spco2_le_threshold,1000,2,historical_density_minus_random,rmse,7.063722833292648
spco2_le_threshold,1000,2,historical_density_minus_random,mae,3.988027474136869
spco2_le_threshold,1000,2,historical_density_minus_random,median_absolute_error,2.6528750458689387
spco2_le_threshold,1000,2,historical_density_minus_random,p95_absolute_error,13.365570276076653
spco2_le_threshold,1000,2,historical_density_minus_random,p99_absolute_error,29.692829423739994
