year,evaluation_domain,budget,seed,comparison,metric,difference_equal_weight,difference_area_weighted,difference
2005,all,500,0,spatial_coverage_minus_random,rmse,0.0732007241262309,0.1270540315937474,0.0538533074675165
2005,all,500,0,spatial_coverage_minus_random,mae,-0.0477588555531589,-0.0788619671310506,-0.031103111577891702
2005,all,500,0,spatial_coverage_minus_random,median_absolute_error,-0.0928435575333139,-0.1303794192199916,-0.037535861686677705
2005,all,500,0,spatial_coverage_minus_random,p95_absolute_error,-0.5808597557846298,-0.591111664137145,-0.010251908352515215
2005,all,500,0,spatial_coverage_minus_random,p99_absolute_error,-3.996870554561184,-2.993827071846667,1.0030434827145172
2005,all,500,0,historical_density_minus_random,rmse,7.86788954861489,7.399444485206029,-0.4684450634088613
2005,all,500,0,historical_density_minus_random,mae,4.9906165158084015,4.62289626086373,-0.36772025494467186
2005,all,500,0,historical_density_minus_random,median_absolute_error,2.84186963110227,2.651344961035761,-0.19052467006650886
2005,all,500,0,historical_density_minus_random,p95_absolute_error,19.89220045834591,18.576937569116936,-1.3152628892289755
2005,all,500,0,historical_density_minus_random,p99_absolute_error,34.49360546753421,33.023112284221924,-1.4704931833122856
2005,all,500,1,spatial_coverage_minus_random,rmse,1.448067198980354,1.5263957154032894,0.07832851642293548
2005,all,500,1,spatial_coverage_minus_random,mae,2.2743526337164184,2.375859032940792,0.10150639922437366
2005,all,500,1,spatial_coverage_minus_random,median_absolute_error,2.142404099996924,2.190005006455124,0.04760090645820014
2005,all,500,1,spatial_coverage_minus_random,p95_absolute_error,5.456551189297841,6.117107737439937,0.6605565481420967
2005,all,500,1,spatial_coverage_minus_random,p99_absolute_error,7.517682550486626,8.164751552551962,0.6470690020653365
2005,all,500,1,historical_density_minus_random,rmse,13.060337393399273,12.869774299780616,-0.19056309361865686
2005,all,500,1,historical_density_minus_random,mae,7.578040056757253,7.59119440194922,0.013154345191967565
2005,all,500,1,historical_density_minus_random,median_absolute_error,3.5683447920742424,3.632310082084871,0.06396529001062845
2005,all,500,1,historical_density_minus_random,p95_absolute_error,40.40825653702117,40.08723839264968,-0.3210181443714859
2005,all,500,1,historical_density_minus_random,p99_absolute_error,68.89554401223134,66.67339685406047,-2.22214715817087
2005,all,500,2,spatial_coverage_minus_random,rmse,-0.1091410226481386,-0.0292469108591717,0.07989411178896691
2005,all,500,2,spatial_coverage_minus_random,mae,0.1838629454482969,0.3679528610374412,0.18408991558914428
2005,all,500,2,spatial_coverage_minus_random,median_absolute_error,0.3915206685128396,0.6385012018560872,0.24698053334324754
2005,all,500,2,spatial_coverage_minus_random,p95_absolute_error,0.481376459450054,0.5126296051816155,0.031253145731561516
2005,all,500,2,spatial_coverage_minus_random,p99_absolute_error,-3.002258122069449,-2.426896858262211,0.5753612638072383
2005,all,500,2,historical_density_minus_random,rmse,9.001400468001027,9.186467261892536,0.18506679389150982
2005,all,500,2,historical_density_minus_random,mae,5.667205369339321,5.825171788281796,0.15796641894247543
2005,all,500,2,historical_density_minus_random,median_absolute_error,3.0280371893433937,3.3149540706975245,0.28691688135413074
2005,all,500,2,historical_density_minus_random,p95_absolute_error,20.60754149291303,20.445224985272752,-0.16231650764027705
2005,all,500,2,historical_density_minus_random,p99_absolute_error,44.53239946171921,46.78380363893153,2.251404177212322
2005,all,500,3,spatial_coverage_minus_random,rmse,-1.2384405547066957,-1.1934010010004528,0.04503955370624291
2005,all,500,3,spatial_coverage_minus_random,mae,0.1179890827906859,0.196395150535185,0.0784060677444991
2005,all,500,3,spatial_coverage_minus_random,median_absolute_error,0.7475622885098971,0.8220283709813145,0.0744660824714174
2005,all,500,3,spatial_coverage_minus_random,p95_absolute_error,-2.4824515699101184,-1.9673685938121963,0.5150829760979221
2005,all,500,3,spatial_coverage_minus_random,p99_absolute_error,-18.200731143105912,-19.60629591608371,-1.4055647729777974
2005,all,500,3,historical_density_minus_random,rmse,9.826695495577503,10.065714187744732,0.23901869216722815
2005,all,500,3,historical_density_minus_random,mae,5.557763131547851,5.8068842604285,0.24912112888064897
2005,all,500,3,historical_density_minus_random,median_absolute_error,2.771233210093726,2.950075175888543,0.17884196579481682
2005,all,500,3,historical_density_minus_random,p95_absolute_error,25.452701411952876,25.68023271343526,0.22753130148238299
2005,all,500,3,historical_density_minus_random,p99_absolute_error,46.01266620511905,46.7431341866065,0.7304679814874504
2005,all,500,4,spatial_coverage_minus_random,rmse,0.4566165403666922,0.4146437936251459,-0.041972746741546274
2005,all,500,4,spatial_coverage_minus_random,mae,0.813783805688967,0.7943341071657102,-0.019449698523256842
2005,all,500,4,spatial_coverage_minus_random,median_absolute_error,0.7733602453413084,0.7725672451026355,-0.0007930002386729029
2005,all,500,4,spatial_coverage_minus_random,p95_absolute_error,2.234717331645186,2.1847650818565043,-0.04995224978868151
2005,all,500,4,spatial_coverage_minus_random,p99_absolute_error,-2.110839768935179,-1.644953066819994,0.4658867021151849
2005,all,500,4,historical_density_minus_random,rmse,10.47473251972895,11.124918282423756,0.6501857626948073
2005,all,500,4,historical_density_minus_random,mae,6.256654685788551,6.668379542093582,0.41172485630503086
2005,all,500,4,historical_density_minus_random,median_absolute_error,2.943652215750092,3.1580819024133007,0.2144296866632085
2005,all,500,4,historical_density_minus_random,p95_absolute_error,29.75352307958133,32.78895674383774,3.0354336642564057
2005,all,500,4,historical_density_minus_random,p99_absolute_error,49.15750850977175,52.50720539908801,3.349696889316256
2005,all,500,5,spatial_coverage_minus_random,rmse,-0.029912557230336,-0.0783141228689103,-0.048401565638574305
2005,all,500,5,spatial_coverage_minus_random,mae,0.6292173015010754,0.6073502867781961,-0.02186701472287922
2005,all,500,5,spatial_coverage_minus_random,median_absolute_error,0.903032538416511,0.8817414163403328,-0.021291122076178226
2005,all,500,5,spatial_coverage_minus_random,p95_absolute_error,1.865188822463565,1.91924853344694,0.05405971098337492
2005,all,500,5,spatial_coverage_minus_random,p99_absolute_error,0.3991219668616992,0.3458756970099301,-0.05324626985176911
2005,all,500,5,historical_density_minus_random,rmse,7.241910000428138,7.530408006534927,0.28849800610678855
2005,all,500,5,historical_density_minus_random,mae,4.542217479161902,4.719539984794466,0.17732250563256358
2005,all,500,5,historical_density_minus_random,median_absolute_error,2.7997296449541125,2.952920000923939,0.15319035596982644
2005,all,500,5,historical_density_minus_random,p95_absolute_error,17.220918251526435,17.3688662480725,0.1479479965460655
2005,all,500,5,historical_density_minus_random,p99_absolute_error,32.14077752366788,34.4295121616437,2.2887346379758213
2005,all,500,6,spatial_coverage_minus_random,rmse,-0.1126823565902164,-0.2026573678493051,-0.0899750112590887
2005,all,500,6,spatial_coverage_minus_random,mae,0.7534765840188768,0.5479388340895568,-0.20553774992932006
2005,all,500,6,spatial_coverage_minus_random,median_absolute_error,1.1663329298615963,0.9125023114109468,-0.25383061845064947
2005,all,500,6,spatial_coverage_minus_random,p95_absolute_error,-0.1519243680201469,-0.6075723043474994,-0.45564793632735257
2005,all,500,6,spatial_coverage_minus_random,p99_absolute_error,-6.8217623183973615,-7.021501611590239,-0.1997392931928772
2005,all,500,6,historical_density_minus_random,rmse,8.128336947288656,7.698692623777955,-0.4296443235107006
2005,all,500,6,historical_density_minus_random,mae,5.176810524193851,4.688486663885136,-0.48832386030871433
2005,all,500,6,historical_density_minus_random,median_absolute_error,2.773577083974544,2.2667751848445903,-0.5068018991299539
2005,all,500,6,historical_density_minus_random,p95_absolute_error,21.51854808865823,21.747984508957902,0.22943642029967393
2005,all,500,6,historical_density_minus_random,p99_absolute_error,38.15772536512563,35.37694823292301,-2.7807771322026156
2005,all,500,7,spatial_coverage_minus_random,rmse,0.253508698262344,0.2434964063341205,-0.010012291928223505
2005,all,500,7,spatial_coverage_minus_random,mae,0.3042470937299555,0.3001723869875903,-0.004074706742365208
2005,all,500,7,spatial_coverage_minus_random,median_absolute_error,0.2861447922021227,0.2699870392336549,-0.016157752968467776
2005,all,500,7,spatial_coverage_minus_random,p95_absolute_error,1.5624211747885823,1.5111913351251758,-0.05122983966340655
2005,all,500,7,spatial_coverage_minus_random,p99_absolute_error,3.748746523405487,3.1114894451037003,-0.6372570783017868
2005,all,500,7,historical_density_minus_random,rmse,6.351532647313505,5.921392226176604,-0.4301404211369011
2005,all,500,7,historical_density_minus_random,mae,4.846385322071804,4.463785071119361,-0.3826002509524429
2005,all,500,7,historical_density_minus_random,median_absolute_error,3.352766589842304,3.052122026941845,-0.3006445629004588
2005,all,500,7,historical_density_minus_random,p95_absolute_error,16.66929993330345,15.776062565772342,-0.8932373675311069
2005,all,500,7,historical_density_minus_random,p99_absolute_error,25.898587512845666,23.294629845402795,-2.60395766744287
2005,all,500,8,spatial_coverage_minus_random,rmse,21.38741892594191,21.8642414033383,0.47682247739639294
2005,all,500,8,spatial_coverage_minus_random,mae,10.256257331769817,10.645899225239813,0.3896418934699959
2005,all,500,8,spatial_coverage_minus_random,median_absolute_error,4.158462362119536,4.374395792984302,0.2159334308647658
2005,all,500,8,spatial_coverage_minus_random,p95_absolute_error,43.721455383318016,45.42120392919248,1.6997485458744634
2005,all,500,8,spatial_coverage_minus_random,p99_absolute_error,99.050890918874,103.52829705327916,4.4774061344051574
2005,all,500,8,historical_density_minus_random,rmse,7.522129246450504,7.591911968824544,0.06978272237403971
2005,all,500,8,historical_density_minus_random,mae,4.200139756137254,4.441846599661801,0.24170684352454685
2005,all,500,8,historical_density_minus_random,median_absolute_error,2.1785430288935004,2.405763524812869,0.22722049591936866
2005,all,500,8,historical_density_minus_random,p95_absolute_error,17.00611589298498,17.43368042104087,0.42756452805588907
2005,all,500,8,historical_density_minus_random,p99_absolute_error,28.30820364843136,27.963600479942727,-0.34460316848863215
2005,all,500,9,spatial_coverage_minus_random,rmse,-0.2389755074039676,-0.2849302229927346,-0.045954715588767014
2005,all,500,9,spatial_coverage_minus_random,mae,0.225950366298349,0.198756950120547,-0.027193416177801993
2005,all,500,9,spatial_coverage_minus_random,median_absolute_error,-0.168327860946448,-0.3012573524925699,-0.1329294915461219
2005,all,500,9,spatial_coverage_minus_random,p95_absolute_error,1.9416196483571824,2.7691869019288973,0.8275672535717149
2005,all,500,9,spatial_coverage_minus_random,p99_absolute_error,4.660204631723218,3.131369492524001,-1.528835139199217
2005,all,500,9,historical_density_minus_random,rmse,8.196955935695922,7.919089827008076,-0.2778661086878458
2005,all,500,9,historical_density_minus_random,mae,6.189683465723036,6.165003739845165,-0.024679725877870595
2005,all,500,9,historical_density_minus_random,median_absolute_error,3.636946635284062,3.656880491126316,0.019933855842254378
2005,all,500,9,historical_density_minus_random,p95_absolute_error,22.53766305553673,22.622264612656465,0.08460155711973627
2005,all,500,9,historical_density_minus_random,p99_absolute_error,26.52329728973636,25.13455918441853,-1.3887381053178274
2005,all,500,10,spatial_coverage_minus_random,rmse,0.4313005245603563,0.692945693994865,0.2616451694345088
2005,all,500,10,spatial_coverage_minus_random,mae,1.5478583572127,1.6234856731816407,0.07562731596894068
2005,all,500,10,spatial_coverage_minus_random,median_absolute_error,1.75929023774097,1.6620824434232304,-0.09720779431773963
2005,all,500,10,spatial_coverage_minus_random,p95_absolute_error,4.056759336501635,5.226820583495389,1.170061246993754
2005,all,500,10,spatial_coverage_minus_random,p99_absolute_error,-13.76289985490594,-12.309669772215996,1.4532300826899451
2005,all,500,10,historical_density_minus_random,rmse,5.675527322939843,5.976021318415612,0.3004939954757697
2005,all,500,10,historical_density_minus_random,mae,4.3815524556231935,4.720960174079217,0.33940771845602313
2005,all,500,10,historical_density_minus_random,median_absolute_error,3.585288581841354,3.733450186054085,0.14816160421273095
2005,all,500,10,historical_density_minus_random,p95_absolute_error,14.704322469254258,15.291990586209243,0.5876681169549851
2005,all,500,10,historical_density_minus_random,p99_absolute_error,5.605262356768378,6.390945784603204,0.7856834278348259
2005,all,500,11,spatial_coverage_minus_random,rmse,-1.837876453540048,-1.8820596081435603,-0.0441831546035123
2005,all,500,11,spatial_coverage_minus_random,mae,-0.393257971387758,-0.5674512362939907,-0.17419326490623277
2005,all,500,11,spatial_coverage_minus_random,median_absolute_error,0.4345262233070741,0.1764265084752878,-0.2580997148317863
2005,all,500,11,spatial_coverage_minus_random,p95_absolute_error,-2.776543775345367,-3.2379618744025933,-0.4614180990572265
2005,all,500,11,spatial_coverage_minus_random,p99_absolute_error,-15.444922175302338,-15.437106666253726,0.007815509048612057
2005,all,500,11,historical_density_minus_random,rmse,6.842897969559161,6.300202146147655,-0.5426958234115054
2005,all,500,11,historical_density_minus_random,mae,3.824025951665771,3.561504907927617,-0.262521043738154
2005,all,500,11,historical_density_minus_random,median_absolute_error,1.9817275927029807,1.8194941749532347,-0.16223341774974598
2005,all,500,11,historical_density_minus_random,p95_absolute_error,17.866243111777372,14.722091798638225,-3.1441513131391474
2005,all,500,11,historical_density_minus_random,p99_absolute_error,32.61225550977561,28.472472241241974,-4.139783268533634
2005,all,500,12,spatial_coverage_minus_random,rmse,-1.0516648363447345,-0.9402380709511142,0.11142676539362029
2005,all,500,12,spatial_coverage_minus_random,mae,0.7966578553049093,0.805791690086199,0.009133834781289707
2005,all,500,12,spatial_coverage_minus_random,median_absolute_error,1.4910301531452603,1.3727245393933458,-0.1183056137519145
2005,all,500,12,spatial_coverage_minus_random,p95_absolute_error,-0.886594107349552,-0.5742463074791573,0.31234779987039474
2005,all,500,12,spatial_coverage_minus_random,p99_absolute_error,-10.206151344334074,-7.864338510060492,2.3418128342735827
2005,all,500,12,historical_density_minus_random,rmse,9.06402777143524,9.245562760662605,0.1815349892273641
2005,all,500,12,historical_density_minus_random,mae,6.341062597026513,6.612685266810534,0.27162266978402094
2005,all,500,12,historical_density_minus_random,median_absolute_error,3.574858975848884,3.8583132791264063,0.2834543032775225
2005,all,500,12,historical_density_minus_random,p95_absolute_error,25.59254327016536,26.046752075443,0.45420880527763785
2005,all,500,12,historical_density_minus_random,p99_absolute_error,41.78353337874289,42.767617074353495,0.9840836956106074
2005,all,500,13,spatial_coverage_minus_random,rmse,1.6463033977079533,1.578363586388427,-0.0679398113195262
2005,all,500,13,spatial_coverage_minus_random,mae,1.099541826906698,1.212677535178873,0.1131357082721749
2005,all,500,13,spatial_coverage_minus_random,median_absolute_error,0.6208315943408991,0.9346855694760166,0.3138539751351175
2005,all,500,13,spatial_coverage_minus_random,p95_absolute_error,0.725785455741196,0.028219116401857,-0.697566339339339
2005,all,500,13,spatial_coverage_minus_random,p99_absolute_error,17.29136170308675,15.7042937543507,-1.587067948736049
2005,all,500,13,historical_density_minus_random,rmse,6.571403238358556,6.55030730372436,-0.02109593463419568
2005,all,500,13,historical_density_minus_random,mae,4.479493872949792,4.533975084513223,0.054481211563430776
2005,all,500,13,historical_density_minus_random,median_absolute_error,3.171874041481942,3.1879135375120318,0.016039496030089584
2005,all,500,13,historical_density_minus_random,p95_absolute_error,13.100477017973487,12.329177642499047,-0.7712993754744399
2005,all,500,13,historical_density_minus_random,p99_absolute_error,19.63755433331518,19.90591137601308,0.2683570426979003
2005,all,500,14,spatial_coverage_minus_random,rmse,1.0047480845277337,1.0894562813431286,0.08470819681539488
2005,all,500,14,spatial_coverage_minus_random,mae,1.0705847657425274,1.0612767901540785,-0.009307975588448869
2005,all,500,14,spatial_coverage_minus_random,median_absolute_error,0.4081580224991228,0.2928147168135524,-0.11534330568557039
2005,all,500,14,spatial_coverage_minus_random,p95_absolute_error,4.188887416918803,4.0973850320482015,-0.09150238487060136
2005,all,500,14,spatial_coverage_minus_random,p99_absolute_error,14.968942868486865,15.09163200589181,0.12268913740494547
2005,all,500,14,historical_density_minus_random,rmse,6.807116184591585,7.1383043915840965,0.33118820699251117
2005,all,500,14,historical_density_minus_random,mae,4.54411217389686,4.7327588675683,0.1886466936714406
2005,all,500,14,historical_density_minus_random,median_absolute_error,2.666131531779257,2.7227506917333244,0.0566191599540673
2005,all,500,14,historical_density_minus_random,p95_absolute_error,14.625815644812969,15.13716471202877,0.5113490672158019
2005,all,500,14,historical_density_minus_random,p99_absolute_error,26.59646750580515,28.336793869026152,1.7403263632210013
2005,all,500,15,spatial_coverage_minus_random,rmse,-2.351065011127261,-2.21899314326253,0.13207186786473102
2005,all,500,15,spatial_coverage_minus_random,mae,-0.183956450510216,-0.0673667927528178,0.1165896577573982
2005,all,500,15,spatial_coverage_minus_random,median_absolute_error,0.5621297496513762,0.5880950656220136,0.025965315970637448
2005,all,500,15,spatial_coverage_minus_random,p95_absolute_error,-4.736791129846559,-3.869587889518108,0.8672032403284504
2005,all,500,15,spatial_coverage_minus_random,p99_absolute_error,-10.058725903671316,-11.133947529463626,-1.0752216257923095
2005,all,500,15,historical_density_minus_random,rmse,7.384406980747315,6.910741846080185,-0.47366513466712945
2005,all,500,15,historical_density_minus_random,mae,5.184353097628623,5.037264235804358,-0.1470888618242654
2005,all,500,15,historical_density_minus_random,median_absolute_error,3.3383071080326943,3.37147372608095,0.033166618048255714
2005,all,500,15,historical_density_minus_random,p95_absolute_error,22.15300020401878,20.169714965640622,-1.9832852383781585
2005,all,500,15,historical_density_minus_random,p99_absolute_error,21.666961515906664,18.930814973727337,-2.736146542179327
2005,all,500,16,spatial_coverage_minus_random,rmse,0.1660187598681055,0.1975545912045255,0.03153583133642002
2005,all,500,16,spatial_coverage_minus_random,mae,0.5603970759677317,0.5856228270888906,0.02522575112115888
2005,all,500,16,spatial_coverage_minus_random,median_absolute_error,0.5042258067473995,0.4958866555753616,-0.008339151172037873
2005,all,500,16,spatial_coverage_minus_random,p95_absolute_error,-0.3304779593641029,-0.6124789356787588,-0.28200097631465587
2005,all,500,16,spatial_coverage_minus_random,p99_absolute_error,4.467348025333976,4.903903468609983,0.43655544327600726
2005,all,500,16,historical_density_minus_random,rmse,6.02874719484652,5.813201425308069,-0.21554576953845128
2005,all,500,16,historical_density_minus_random,mae,3.9976094767349615,3.709647359459044,-0.2879621172759177
2005,all,500,16,historical_density_minus_random,median_absolute_error,2.5952958983424423,2.2630464641056847,-0.3322494342367577
2005,all,500,16,historical_density_minus_random,p95_absolute_error,14.521182931842617,14.13235714180096,-0.3888257900416576
2005,all,500,16,historical_density_minus_random,p99_absolute_error,19.19077579245804,17.98732000649312,-1.2034557859649198
2005,all,500,17,spatial_coverage_minus_random,rmse,-0.5362516052076067,-0.4061128205821518,0.13013878462545492
2005,all,500,17,spatial_coverage_minus_random,mae,0.1069112336822719,0.2500157308481405,0.1431044971658686
2005,all,500,17,spatial_coverage_minus_random,median_absolute_error,0.3289090049289029,0.5251781853505122,0.1962691804216093
2005,all,500,17,spatial_coverage_minus_random,p95_absolute_error,0.1270599291656893,-0.0047104037445251,-0.13177033291021442
2005,all,500,17,spatial_coverage_minus_random,p99_absolute_error,-3.745048401507347,-2.2118129572110234,1.5332354442963236
2005,all,500,17,historical_density_minus_random,rmse,11.271665688505957,11.228745283074096,-0.04292040543186104
2005,all,500,17,historical_density_minus_random,mae,6.35696436201356,6.393062445828214,0.03609808381465385
2005,all,500,17,historical_density_minus_random,median_absolute_error,2.617953799746971,2.666258893977897,0.048305094230926215
2005,all,500,17,historical_density_minus_random,p95_absolute_error,33.103346876579685,33.26784353912747,0.1644966625477835
2005,all,500,17,historical_density_minus_random,p99_absolute_error,54.11869210814632,53.88762100296624,-0.231071105180078
2005,all,500,18,spatial_coverage_minus_random,rmse,0.3583888911049868,0.5171078360953985,0.15871894499041167
2005,all,500,18,spatial_coverage_minus_random,mae,0.5822081471319418,0.7221055975886781,0.1398974504567363
2005,all,500,18,spatial_coverage_minus_random,median_absolute_error,0.7464826049974818,0.8433448636588423,0.09686225866136056
2005,all,500,18,spatial_coverage_minus_random,p95_absolute_error,1.4839234006416715,1.6832407033495258,0.1993173027078543
2005,all,500,18,spatial_coverage_minus_random,p99_absolute_error,-1.606968191692232,0.0995009059479343,1.7064690976401664
