year,evaluation_domain,budget,comparison,metric,n_seeds,mean_area_weighting_change,sd_area_weighting_change,seed_bootstrap_low,seed_bootstrap_high,fraction_change_below_zero
2005,all,500,historical_density_minus_random,mae,20,0.033267522533347124,0.268281781561365,-0.08764780163567971,0.14493568376756258,0.35
2005,all,500,historical_density_minus_random,median_absolute_error,20,0.04030294364190323,0.23158426329158208,-0.06368559664120554,0.133884209247075,0.25
2005,all,500,historical_density_minus_random,p95_absolute_error,20,-0.17230672860689458,1.2164511989503763,-0.7000371600066952,0.35050821012526556,0.45
2005,all,500,historical_density_minus_random,p99_absolute_error,20,-0.20517880322521442,2.048161476964035,-1.0814967522991812,0.6680473506335681,0.5
2005,all,500,historical_density_minus_random,rmse,20,-0.019809539006886378,0.3402106483968434,-0.16623841106339443,0.12381551537934049,0.5
2005,all,500,spatial_coverage_minus_random,mae,20,0.03596589428823523,0.13600057359016232,-0.021074410333568,0.09596352675361992,0.45
2005,all,500,spatial_coverage_minus_random,median_absolute_error,20,-0.0010865367002125454,0.1593562337696897,-0.06758934483549447,0.06985806568919053,0.6
2005,all,500,spatial_coverage_minus_random,p95_absolute_error,20,0.18792570327120228,0.6056689568834459,-0.055613264646933995,0.45733660231882306,0.5
2005,all,500,spatial_coverage_minus_random,p99_absolute_error,20,0.31632203290883343,1.5449521509028075,-0.3139423553021722,1.0047785724542835,0.4
2005,all,500,spatial_coverage_minus_random,rmse,20,0.05110111204973612,0.1516746800271173,-0.01235324739175416,0.11884348106187807,0.4
2005,all,1000,historical_density_minus_random,mae,20,-0.029462110562554565,0.22007857401687933,-0.12580565315734227,0.06325527570568804,0.5
2005,all,1000,historical_density_minus_random,median_absolute_error,20,0.03843524692746743,0.1311587273018445,-0.01939282394829663,0.09270302792274969,0.3
2005,all,1000,historical_density_minus_random,p95_absolute_error,20,-0.37377220679313483,1.5244442147507173,-1.0107723725756625,0.29748597816234484,0.65
2005,all,1000,historical_density_minus_random,p99_absolute_error,20,-1.3626144640854858,2.342819402842281,-2.3454474341351483,-0.3713915857125304,0.75
2005,all,1000,historical_density_minus_random,rmse,20,-0.12875834180171966,0.3565887815302801,-0.28704322073816774,0.01535881950962703,0.6
2005,all,1000,spatial_coverage_minus_random,mae,20,-0.008723544033727338,0.13133574317792213,-0.06107067069532763,0.05021661266467115,0.6
2005,all,1000,spatial_coverage_minus_random,median_absolute_error,20,0.004047086323603818,0.15922969554874553,-0.06210509752598126,0.0727488922039368,0.55
2005,all,1000,spatial_coverage_minus_random,p95_absolute_error,20,-0.051577816563027366,0.41806157088509477,-0.2300563819886378,0.1285279298877196,0.5
2005,all,1000,spatial_coverage_minus_random,p99_absolute_error,20,-0.4111488382420979,1.4244979874766663,-1.0174757517587325,0.18544756157969491,0.65
2005,all,1000,spatial_coverage_minus_random,rmse,20,-0.02485356553419911,0.12818423445915922,-0.07935152755315213,0.028904109832542386,0.65
2005,all,2500,historical_density_minus_random,mae,20,-0.0706611007257889,0.24215798166482172,-0.17674416117751518,0.031012524536372717,0.7
2005,all,2500,historical_density_minus_random,median_absolute_error,20,-0.050101376828314434,0.12941332344873652,-0.10595516339950567,0.005582473693168093,0.6
2005,all,2500,historical_density_minus_random,p95_absolute_error,20,-0.01596892993042367,2.0595177173230543,-0.9084381370166192,0.8480061851939588,0.5
2005,all,2500,historical_density_minus_random,p99_absolute_error,20,-0.4102698611867684,3.683206246260421,-1.9701341391324396,1.1640767747459513,0.6
2005,all,2500,historical_density_minus_random,rmse,20,-0.061435230240593754,0.5458344169553054,-0.3051909821994677,0.16739701022219708,0.55
2005,all,2500,spatial_coverage_minus_random,mae,20,-0.0054828324198342715,0.12220179145749707,-0.0574826765045372,0.04721850759178565,0.45
2005,all,2500,spatial_coverage_minus_random,median_absolute_error,20,-0.0015011844362717909,0.11610857173153707,-0.050566671753367945,0.047813288023234465,0.35
2005,all,2500,spatial_coverage_minus_random,p95_absolute_error,20,0.0002515761095642548,0.36095533983984207,-0.15172905876212844,0.1543322229395059,0.55
2005,all,2500,spatial_coverage_minus_random,p99_absolute_error,20,-0.530709010104869,1.5001509442059082,-1.1653524052401216,0.12205161187764371,0.6
2005,all,2500,spatial_coverage_minus_random,rmse,20,0.013023214454852161,0.1899076606958568,-0.07221716550566666,0.0917881743254378,0.45
2005,all,5000,historical_density_minus_random,mae,20,0.0274332987271362,0.18987410807057548,-0.05392761526295153,0.1085758109782488,0.4
2005,all,5000,historical_density_minus_random,median_absolute_error,20,0.03825329027873753,0.12688427954965706,-0.016842978598735635,0.09175839342744045,0.4
2005,all,5000,historical_density_minus_random,p95_absolute_error,20,-0.0307625883135648,1.9442453498941252,-0.8664136228356619,0.8033372997922688,0.5
2005,all,5000,historical_density_minus_random,p99_absolute_error,20,0.09061463362222302,2.5133844977124595,-0.9887375470443266,1.1343878799427258,0.45
2005,all,5000,historical_density_minus_random,rmse,20,-0.019250883990525436,0.4343913779310874,-0.20013626744214044,0.16865563080389612,0.45
2005,all,5000,spatial_coverage_minus_random,mae,20,0.03145236669917889,0.11330466785133497,-0.01625145621723008,0.08035218507996127,0.5
2005,all,5000,spatial_coverage_minus_random,median_absolute_error,20,0.019291383063733743,0.11477373607436281,-0.028228178649736806,0.06987190736783482,0.45
2005,all,5000,spatial_coverage_minus_random,p95_absolute_error,20,0.11374698466887541,0.4415596710976465,-0.07517375229742027,0.3081942193946688,0.45
2005,all,5000,spatial_coverage_minus_random,p99_absolute_error,20,0.008485792402626747,0.9022945471006336,-0.38122797120017515,0.38851573181694665,0.45
2005,all,5000,spatial_coverage_minus_random,rmse,20,0.02019275387519818,0.20091289401762588,-0.07131315282383659,0.10015590553511439,0.45
2005,spco2_le_threshold,500,historical_density_minus_random,mae,20,0.033292339838775706,0.2682380392676536,-0.08457701907463676,0.145043213166754,0.35
2005,spco2_le_threshold,500,historical_density_minus_random,median_absolute_error,20,0.04027916275804416,0.2317457238438279,-0.061469812768377166,0.13547627245449223,0.25
2005,spco2_le_threshold,500,historical_density_minus_random,p95_absolute_error,20,-0.16837675571273483,1.19119868741339,-0.6802216985014005,0.32620929141454474,0.45
2005,spco2_le_threshold,500,historical_density_minus_random,p99_absolute_error,20,-0.3176657617566095,2.0613500915230976,-1.1939859821327818,0.5611092718526934,0.5
2005,spco2_le_threshold,500,historical_density_minus_random,rmse,20,-0.022980882402791725,0.38667205191188353,-0.18798970972832948,0.14073705536123945,0.5
2005,spco2_le_threshold,500,spatial_coverage_minus_random,mae,20,0.0358053077389969,0.13612865709810001,-0.020546124292580747,0.09586689370568345,0.45
2005,spco2_le_threshold,500,spatial_coverage_minus_random,median_absolute_error,20,-0.001214533204519333,0.15931585476588372,-0.06841734477119976,0.06718721743325502,0.6
2005,spco2_le_threshold,500,spatial_coverage_minus_random,p95_absolute_error,20,0.1909759837011901,0.5932780953129816,-0.04978250848077377,0.4594845678690194,0.5
2005,spco2_le_threshold,500,spatial_coverage_minus_random,p99_absolute_error,20,0.258847993695779,1.4969374911246103,-0.3588892256555621,0.9228048384944662,0.5
2005,spco2_le_threshold,500,spatial_coverage_minus_random,rmse,20,0.05451308040061651,0.184382856492609,-0.020081371940060853,0.13613221966368125,0.45
2005,spco2_le_threshold,1000,historical_density_minus_random,mae,20,-0.029407781742795326,0.22000735020625323,-0.12663159928539847,0.06038112643694347,0.5
2005,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,20,0.038253867772988316,0.1307534758905251,-0.019748740124202545,0.09067277216426438,0.3
2005,spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,20,-0.3716897969399704,1.5224177558754104,-1.020890198813578,0.2859903210490705,0.65
2005,spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,20,-1.331820959883094,2.1240838194120495,-2.222297754997361,-0.40495196388604077,0.75
2005,spco2_le_threshold,1000,historical_density_minus_random,rmse,20,-0.15114208127597334,0.40856504647790637,-0.33244243747745517,0.01576017409261451,0.6
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,mae,20,-0.008586985603818329,0.1312922336081328,-0.061069039279446895,0.04986536637346908,0.6
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,20,0.003905011552355092,0.15923345788318005,-0.06110925313092164,0.07555236613890401,0.6
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,20,-0.05603797810996904,0.4206249020678531,-0.23489205839407698,0.1255263657685927,0.45
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,20,-0.41763744057013386,1.329900488334246,-0.9900166602687911,0.1490775342628746,0.6
2005,spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,20,-0.02023530277651383,0.14844606434537416,-0.08035260240130603,0.04383164202140404,0.6
2005,spco2_le_threshold,2500,historical_density_minus_random,mae,20,-0.0706179511445569,0.24206205153201846,-0.17865436082627925,0.032156102320796943,0.7
2005,spco2_le_threshold,2500,historical_density_minus_random,median_absolute_error,20,-0.050309337541253274,0.12956452865575582,-0.10697092145754983,0.0037293246158938936,0.6
2005,spco2_le_threshold,2500,historical_density_minus_random,p95_absolute_error,20,-0.010144124627307427,2.0509654886015465,-0.8955873019485525,0.8635034549314882,0.5
2005,spco2_le_threshold,2500,historical_density_minus_random,p99_absolute_error,20,-0.43633953959200655,3.7790338817055784,-2.050274750348685,1.1915329832308048,0.6
2005,spco2_le_threshold,2500,historical_density_minus_random,rmse,20,-0.07237068564812361,0.6376005870042282,-0.3421853122967128,0.1918079792075657,0.55
