year,spatial_fold,evaluation_domain,budget,seed,comparison,metric,difference
2005,0,all,5000,2,historical_density_minus_random,mae,4.732451443769939
2005,0,all,5000,2,historical_density_minus_random,median_absolute_error,2.3938363262226137
2005,0,all,5000,2,historical_density_minus_random,p95_absolute_error,20.410851385793833
2005,0,all,5000,2,historical_density_minus_random,p99_absolute_error,47.4707748362125
2005,0,all,5000,2,spatial_coverage_minus_random,rmse,3.939609251232696
2005,0,all,5000,2,spatial_coverage_minus_random,mae,1.1290566547650442
2005,0,all,5000,2,spatial_coverage_minus_random,median_absolute_error,0.6879040654683592
2005,0,all,5000,2,spatial_coverage_minus_random,p95_absolute_error,0.4088905166559016
2005,0,all,5000,2,spatial_coverage_minus_random,p99_absolute_error,12.41749750931021
2005,0,all,5000,3,historical_density_minus_random,rmse,6.9509690521723755
2005,0,all,5000,3,historical_density_minus_random,mae,3.992974132913691
2005,0,all,5000,3,historical_density_minus_random,median_absolute_error,1.9087611873881922
2005,0,all,5000,3,historical_density_minus_random,p95_absolute_error,19.420774519182594
2005,0,all,5000,3,historical_density_minus_random,p99_absolute_error,41.47672169213274
2005,0,all,5000,3,spatial_coverage_minus_random,rmse,5.724782834195725
2005,0,all,5000,3,spatial_coverage_minus_random,mae,1.146452335225634
2005,0,all,5000,3,spatial_coverage_minus_random,median_absolute_error,0.43599386555325736
2005,0,all,5000,3,spatial_coverage_minus_random,p95_absolute_error,2.5518558880467523
2005,0,all,5000,3,spatial_coverage_minus_random,p99_absolute_error,1.775885706050417
2005,0,all,5000,4,historical_density_minus_random,rmse,8.64135223400342
2005,0,all,5000,4,historical_density_minus_random,mae,5.209101601926259
2005,0,all,5000,4,historical_density_minus_random,median_absolute_error,2.879420483418956
2005,0,all,5000,4,historical_density_minus_random,p95_absolute_error,21.22513260978942
2005,0,all,5000,4,historical_density_minus_random,p99_absolute_error,51.59817187861873
2005,0,all,5000,4,spatial_coverage_minus_random,rmse,6.536584852830149
2005,0,all,5000,4,spatial_coverage_minus_random,mae,1.6221960615064575
2005,0,all,5000,4,spatial_coverage_minus_random,median_absolute_error,0.9680732619721368
2005,0,all,5000,4,spatial_coverage_minus_random,p95_absolute_error,1.886087015635134
2005,0,all,5000,4,spatial_coverage_minus_random,p99_absolute_error,13.339008634382637
2005,0,spco2_le_threshold,1000,0,historical_density_minus_random,rmse,6.334229278885488
2005,0,spco2_le_threshold,1000,0,historical_density_minus_random,mae,5.087079628255832
2005,0,spco2_le_threshold,1000,0,historical_density_minus_random,median_absolute_error,3.8711152746109274
2005,0,spco2_le_threshold,1000,0,historical_density_minus_random,p95_absolute_error,16.60671441861711
2005,0,spco2_le_threshold,1000,0,historical_density_minus_random,p99_absolute_error,39.04807022022355
2005,0,spco2_le_threshold,1000,0,spatial_coverage_minus_random,rmse,4.6376779817209055
2005,0,spco2_le_threshold,1000,0,spatial_coverage_minus_random,mae,1.2257586050021594
2005,0,spco2_le_threshold,1000,0,spatial_coverage_minus_random,median_absolute_error,0.2232979428617039
2005,0,spco2_le_threshold,1000,0,spatial_coverage_minus_random,p95_absolute_error,3.0281068046009096
2005,0,spco2_le_threshold,1000,0,spatial_coverage_minus_random,p99_absolute_error,43.634787192896695
2005,0,spco2_le_threshold,1000,1,historical_density_minus_random,rmse,6.7775775129182705
2005,0,spco2_le_threshold,1000,1,historical_density_minus_random,mae,4.40404915358746
2005,0,spco2_le_threshold,1000,1,historical_density_minus_random,median_absolute_error,3.0602939847927093
2005,0,spco2_le_threshold,1000,1,historical_density_minus_random,p95_absolute_error,15.163748280605013
2005,0,spco2_le_threshold,1000,1,historical_density_minus_random,p99_absolute_error,35.206683313198454
2005,0,spco2_le_threshold,1000,1,spatial_coverage_minus_random,rmse,1.3071914429936307
2005,0,spco2_le_threshold,1000,1,spatial_coverage_minus_random,mae,0.7283632820157582
2005,0,spco2_le_threshold,1000,1,spatial_coverage_minus_random,median_absolute_error,0.38473416215211564
2005,0,spco2_le_threshold,1000,1,spatial_coverage_minus_random,p95_absolute_error,1.494630982174975
2005,0,spco2_le_threshold,1000,1,spatial_coverage_minus_random,p99_absolute_error,5.775020494190599
2005,0,spco2_le_threshold,1000,2,historical_density_minus_random,rmse,10.040499632475473
2005,0,spco2_le_threshold,1000,2,historical_density_minus_random,mae,5.980064369129762
2005,0,spco2_le_threshold,1000,2,historical_density_minus_random,median_absolute_error,3.7619153829165004
2005,0,spco2_le_threshold,1000,2,historical_density_minus_random,p95_absolute_error,23.40905473752916
2005,0,spco2_le_threshold,1000,2,historical_density_minus_random,p99_absolute_error,61.68244933881394
2005,0,spco2_le_threshold,1000,2,spatial_coverage_minus_random,rmse,3.653896487157759
2005,0,spco2_le_threshold,1000,2,spatial_coverage_minus_random,mae,2.5041157860550687
2005,0,spco2_le_threshold,1000,2,spatial_coverage_minus_random,median_absolute_error,1.5658193332283208
2005,0,spco2_le_threshold,1000,2,spatial_coverage_minus_random,p95_absolute_error,7.104299139362297
2005,0,spco2_le_threshold,1000,2,spatial_coverage_minus_random,p99_absolute_error,15.25651006448659
