validation_scheme,year,spatial_fold,budget,domain,weighting,comparison,random_bias,comparator_bias,difference_bias,random_mae,comparator_mae,difference_mae,random_rmse,comparator_rmse,difference_rmse
hidden_cells_latitude_cap,2005,-1,5000,global,equal_cell,historical_density_minus_random,0.02534824791135056,-0.9997356632647977,-1.0250839111761483,9.673039238872168,11.992753916706487,2.3197146778343196,24.032911891607277,28.432837057507435,4.399925165900157
hidden_cells_latitude_cap,2005,-1,5000,global,equal_cell,spatial_coverage_minus_random,0.02534824791135056,-0.05990689816461592,-0.08525514607596647,9.673039238872168,9.817438044118092,0.14439880524592397,24.032911891607277,21.82869570369683,-2.204216187910447
hidden_cells_latitude_cap,2005,-1,5000,global,spherical_cell_area,historical_density_minus_random,0.03932709335297808,-0.6859596060522885,-0.7252866994052666,9.328888687301383,11.522527648767202,2.193638961465819,22.528895975820753,26.575104327530358,4.0462083517096055
hidden_cells_latitude_cap,2005,-1,5000,global,spherical_cell_area,spatial_coverage_minus_random,0.03932709335297808,0.014240976514012862,-0.025086116838965215,9.328888687301383,9.508790332619107,0.1799016453177238,22.528895975820753,20.519945538116893,-2.0089504377038594
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,equal_cell,historical_density_minus_random,0.02534824791135056,-0.9997356632647977,-1.0250839111761483,9.673039238872168,11.992753916706487,2.3197146778343196,24.032911891607277,28.432837057507435,4.399925165900157
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,0.02534824791135056,-0.05990689816461592,-0.08525514607596647,9.673039238872168,9.817438044118092,0.14439880524592397,24.032911891607277,21.82869570369683,-2.204216187910447
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,0.03932709335297808,-0.6859596060522885,-0.7252866994052666,9.328888687301383,11.522527648767202,2.193638961465819,22.528895975820753,26.575104327530358,4.0462083517096055
hidden_cells_latitude_cap,2005,-1,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,0.03932709335297808,0.014240976514012862,-0.025086116838965215,9.328888687301383,9.508790332619107,0.1799016453177238,22.528895975820753,20.519945538116893,-2.0089504377038594
hidden_cells_latitude_cap,2010,-1,5000,global,equal_cell,historical_density_minus_random,0.06735930869658424,-1.427511637241022,-1.4948709459376062,9.699930856193486,12.26462482613355,2.5646939699400644,20.02871597123507,24.608154314230667,4.579438342995598
hidden_cells_latitude_cap,2010,-1,5000,global,equal_cell,spatial_coverage_minus_random,0.06735930869658424,0.06256916701861963,-0.004790141677964613,9.699930856193486,9.882324175644865,0.1823933194513785,20.02871597123507,18.0689650564035,-1.9597509148315702
