validation_scheme,budget,domain,weighting,n_units,mean_mean_bias_random,mean_mean_bias_historical_density,mean_mean_bias_difference,median_mean_bias_difference,units_mean_bias_difference_below_zero,mean_mean_mae_random,mean_mean_mae_historical_density,mean_mean_mae_difference,median_mean_mae_difference,units_mean_mae_difference_below_zero,mean_mean_rmse_random,mean_mean_rmse_historical_density,mean_mean_rmse_difference,median_mean_rmse_difference,units_mean_rmse_difference_below_zero
hidden_cells,5000,60_to_90n,equal_cell,3,-0.1221785122600904,-36.56297689774632,-36.44079838548623,-39.67313834378663,3,17.43912897216575,49.176493570448635,31.73736459828289,31.664823561531094,0,42.828857929104196,76.88145226697121,34.052594337867006,32.423010407549825,0
hidden_cells,5000,60_to_90n,spherical_cell_area,3,0.06203181886790743,-33.49665874356293,-33.55869056243084,-35.98273529133566,3,19.624048584948163,46.405845694187754,26.78179710923959,26.828683464593034,0,47.391630930771505,78.69261052083387,31.300979590062365,30.360510172293857,0
hidden_cells,5000,global,equal_cell,3,0.06482711518863521,-4.821721798214945,-4.886548913403581,-5.283877940802499,3,10.93617525469852,16.366403404175927,5.430228149477405,5.390238042291184,0,25.935714235208774,35.800685519904484,9.86497128469571,9.94827778159797,0
hidden_cells,5000,global,spherical_cell_area,3,0.05925618786166633,-1.9895644631556177,-2.048820651017284,-2.0465655019208486,3,10.301184138633568,13.404085312905314,3.102901174271748,3.114990768626523,0,23.962550494444116,29.931441308551864,5.968890814107742,6.225540064969934,0
hidden_cells,5000,south_of_60n,equal_cell,3,0.08731076793205395,-1.0054764422092366,-1.0927872101412905,-1.1492633864052226,3,10.154326306168103,12.421652201536325,2.267325895368222,2.308429507356383,0,22.998522361627124,26.89366471014371,3.895142348516586,4.195955736358474,0
hidden_cells,5000,south_of_60n,spherical_cell_area,3,0.05914728673062192,-0.7533921494210426,-0.8125394361516646,-0.7672968605759775,3,9.935404076192166,12.109270179374803,2.173866103182639,2.184590456040647,0,22.5114697387143,26.21434248523508,3.7028727465207774,3.9115714672911004,0
whole_blocks,5000,60_to_90n,equal_cell,15,-0.13090897103888954,-37.835198060879286,-37.70428908984039,-36.111892116266944,15,19.14903497398334,50.11026587818517,30.96123090420183,30.46334782568548,0,42.944062912663306,77.65811595898977,34.71405304632645,36.031153509736164,0
whole_blocks,5000,60_to_90n,spherical_cell_area,15,-0.1441217635124497,-33.78297889880713,-33.63885713529468,-32.12362229467125,15,21.39493592206011,46.762045625440194,25.36710970338009,23.92938909583987,0,47.735391904891586,79.26283103726672,31.52743913237513,33.19322362050786,0
whole_blocks,5000,global,equal_cell,15,0.10350693529749053,-4.850685123557378,-4.954192058854869,-5.25666850322602,15,12.828210348179455,17.808777790241205,4.980567442061745,4.835263497083236,0,27.54923606734805,36.48564660554782,8.936410538199762,8.761365837980733,0
whole_blocks,5000,global,spherical_cell_area,15,0.13994504561437335,-1.7440556031864334,-1.884000648800807,-1.85063292904464,15,12.224899507595433,14.827185952591512,2.6022864449960754,2.4380430654814074,0,25.421544923226463,30.164618890584855,4.743073967358392,4.580816345295087,0
whole_blocks,5000,south_of_60n,equal_cell,15,0.14851012899737157,-0.8396256382237808,-0.9881357672211522,-0.872583567885047,14,12.060378527996619,13.882139834305184,1.8217613063085627,1.661435528319183,0,24.684706364917577,27.07749960253726,2.392793237619678,1.493360509143269,0
whole_blocks,5000,south_of_60n,spherical_cell_area,15,0.16230176988721953,-0.4683667771006284,-0.6306685469878478,-0.6177729647458275,15,11.862197684613895,13.559406061257642,1.6972083766437478,1.5350365562959905,0,23.969405835048917,26.183706603717074,2.2143007686681537,1.4916229394184626,0
