validation_scheme,budget,comparison,metric,n_units,n_years,unit_definition,mean_random_baseline,mean_comparator_value,mean_difference,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,units_below_zero,units_above_zero,mean_relative_error_change_percent
month_stratified_hidden_cells,500,historical_density_minus_random,bias,3,3,year,0.02619347542838964,-3.6266013342570638,-3.6527948096854534,-3.67902079845905,-3.7142649796220253,-3.60443763413568,-3.749509160785001,-3.5298544698123093,3,0,
month_stratified_hidden_cells,500,historical_density_minus_random,mae,3,3,year,17.09729296363294,21.964329854060157,4.867036890427216,4.825686645735285,4.70501201896303,5.008386639545437,4.5843373921907755,5.191086633355589,0,3,28.507030926644912
month_stratified_hidden_cells,500,historical_density_minus_random,median_absolute_error,3,3,year,11.227609099568895,14.216448397626818,2.9888392980579215,2.9794450092913642,2.9153360227591687,3.0576454289733954,2.851227036226973,3.1358458486554266,0,3,26.619787436279353
month_stratified_hidden_cells,500,historical_density_minus_random,p95_absolute_error,3,3,year,50.129643658659255,69.11783768021247,18.98819402155323,18.177406650959426,17.946262233797874,19.624732124011683,17.715117816636322,21.07205759706394,0,3,37.979874683336625
month_stratified_hidden_cells,500,historical_density_minus_random,p99_absolute_error,3,3,year,98.40512940533527,126.08170331804111,27.676573912705837,26.993338764698578,24.759127481294165,30.252402770113882,22.524916197889752,33.511466775529186,0,3,28.25110406403805
month_stratified_hidden_cells,500,historical_density_minus_random,rmse,3,3,year,32.58726446469193,39.92756924663615,7.340304781944223,7.003147197680708,6.963826184411252,7.548204587345436,6.924505171141796,8.093261977010165,0,3,22.568444609620087
month_stratified_hidden_cells,500,spatial_coverage_minus_random,bias,3,3,year,0.02619347542838964,0.2994288957940147,0.27323542036562504,0.14622881532530935,0.1266837483365396,0.35628378987455267,0.10713868134776983,0.5663387644237959,0,3,
month_stratified_hidden_cells,500,spatial_coverage_minus_random,mae,3,3,year,17.09729296363294,18.040826840138667,0.9435338765057288,1.0234229703327067,0.8702886856579735,1.0567236142669731,0.7171544009832402,1.0900242582012396,0,3,5.535485587487947
month_stratified_hidden_cells,500,spatial_coverage_minus_random,median_absolute_error,3,3,year,11.227609099568895,12.125404268741894,0.897795169172996,0.8764487500836164,0.8672298749438454,0.9176872538574568,0.8580109998040744,0.9589257576312971,0,3,8.000186363033785
month_stratified_hidden_cells,500,spatial_coverage_minus_random,p95_absolute_error,3,3,year,50.129643658659255,52.44795406508272,2.3183104064234663,2.5966674191907657,2.03768440510661,2.7381149141239725,1.4787013910224545,2.879562409057179,0,3,4.648851805465053
month_stratified_hidden_cells,500,spatial_coverage_minus_random,p99_absolute_error,3,3,year,98.40512940533527,100.41533346903266,2.0102040636973917,0.9406999750301992,0.6602301512433826,2.8254259318178043,0.37976032745656596,4.7101518886054095,0,3,2.082758718881625
month_stratified_hidden_cells,500,spatial_coverage_minus_random,rmse,3,3,year,32.58726446469193,33.36154206122443,0.7742775965324947,0.8192382866686714,0.5887654573747128,0.9822700807583651,0.3582926280807541,1.1453018748480588,0,3,2.3635495478369215
month_stratified_hidden_cells,1000,historical_density_minus_random,bias,3,3,year,0.3507019200905492,-3.618006848122942,-3.968708768213491,-4.202735035280246,-4.21189950049313,-3.842531169467229,-4.221063965706015,-3.482327303654212,3,0,
month_stratified_hidden_cells,1000,historical_density_minus_random,mae,3,3,year,14.45607223403538,19.36225504003846,4.906182806003078,4.952467273759829,4.828544599565819,5.006963246318712,4.704621925371809,5.061459218877594,0,3,33.95783117647752
month_stratified_hidden_cells,1000,historical_density_minus_random,median_absolute_error,3,3,year,9.071554566256378,11.774574638928486,2.70302007267211,2.6974732105133192,2.6847269021766307,2.718539812088194,2.671980593839942,2.7396064136630685,0,3,29.8002797848425
month_stratified_hidden_cells,1000,historical_density_minus_random,p95_absolute_error,3,3,year,42.64147628849432,62.700591078544356,20.059114790050035,20.849595935136918,19.572011062847533,20.94145908979598,18.29442619055815,21.033322244455043,0,3,47.125444890345456
month_stratified_hidden_cells,1000,historical_density_minus_random,p99_absolute_error,3,3,year,89.94307444702837,127.557405209196,37.61433076216763,38.89089759164611,36.76185071847347,39.10509422060104,34.63280384530083,39.31929084955597,0,3,41.891516735330434
month_stratified_hidden_cells,1000,historical_density_minus_random,rmse,3,3,year,30.400102761979507,38.05593051784908,7.6558277558695735,7.584467009553997,7.503410475453062,7.772564663128296,7.422353941352128,7.960662316702596,0,3,25.269431864694514
month_stratified_hidden_cells,1000,spatial_coverage_minus_random,bias,3,3,year,0.3507019200905492,0.3956096108282791,0.044907690737729954,0.016444337705289747,-0.028875006140397563,0.10445871109963736,-0.07419434998608487,0.19247308449398498,1,2,
