validation_scheme,budget,comparison,metric,n_units,mean_random,mean_comparator,mean_difference,median_difference,minimum_difference,maximum_difference,units_below_zero,units_above_zero
month_stratified_hidden_cells,5000,historical_spatial_month_balanced_minus_random,bias,3,0.0648271151886352,-3.7982293840459085,-3.8630564992345438,-3.8135996567312143,-4.382809811901155,-3.392760029071262,3,0
month_stratified_hidden_cells,5000,historical_spatial_month_balanced_minus_random,mae,3,10.93617525469852,15.219316499273356,4.283141244574835,4.195631658967888,4.17184643310744,4.481945641649174,0,3
month_stratified_hidden_cells,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,3,7.083431327297313,8.62608572199362,1.5426543946963065,1.5777792163918334,1.3203348982781236,1.7298490694189623,0,3
month_stratified_hidden_cells,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,3,30.695512375707782,50.41679637208671,19.72128399637892,18.01579543359003,17.809342972069125,23.33871358347761,0,3
month_stratified_hidden_cells,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,3,66.40595088521074,112.73852884146326,46.33257795625252,45.361932398336265,38.957836225756935,54.67796524466435,0,3
month_stratified_hidden_cells,5000,historical_spatial_month_balanced_minus_random,rmse,3,25.935714235208774,34.299202053450536,8.363487818241763,8.082280306672837,8.055708472672109,8.952474675380344,0,3
whole_spatial_blocks,5000,historical_spatial_month_balanced_minus_random,bias,15,0.10350693529749057,-3.735851940635029,-3.8393588759325192,-3.912088537489248,-5.046259482834089,-1.9211298075534535,15,0
whole_spatial_blocks,5000,historical_spatial_month_balanced_minus_random,mae,15,12.828210348179457,16.76811000849107,3.9398996603116156,3.954251858402002,3.04725184135096,5.105800127812376,0,15
whole_spatial_blocks,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,15,8.294726588177793,9.88643147881226,1.5917048906344655,1.6103488852654206,1.1836346572959855,1.9092659640628171,0,15
whole_spatial_blocks,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,15,36.58843904153152,53.7698906094361,17.181451567904578,16.308812756948125,9.734040548077008,28.326161365925874,0,15
whole_spatial_blocks,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,15,80.3672410979976,120.57926846264189,40.21202736464428,39.54831329774707,16.90046241717002,52.60904183452764,0,15
whole_spatial_blocks,5000,historical_spatial_month_balanced_minus_random,rmse,15,27.549236067348048,35.142824737614205,7.593588670266155,7.246292291426987,5.829638563669894,10.560046391081189,0,15
