validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_value,comparator_value,mean_difference,sd_seed_difference,seed_fraction_below_zero
month_stratified_hidden_cells,2005,,5000,historical_spatial_month_balanced_minus_random,bias,20,0.11759021120447186,-4.265219600696684,-4.382809811901155,0.9196781847013398,1.0
month_stratified_hidden_cells,2005,,5000,historical_spatial_month_balanced_minus_random,mae,20,10.782642385456018,15.26458802710519,4.481945641649174,0.7800872632425251,0.0
month_stratified_hidden_cells,2005,,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,6.940798336305095,8.261133234583218,1.3203348982781236,0.2678227092448764,0.0
month_stratified_hidden_cells,2005,,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,29.74570770793908,53.084421291416696,23.33871358347761,4.906959956888684,0.0
month_stratified_hidden_cells,2005,,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,67.39412921060737,122.07209445527171,54.67796524466435,11.647769497712572,0.0
month_stratified_hidden_cells,2005,,5000,historical_spatial_month_balanced_minus_random,rmse,20,26.494569312158184,35.44704398753852,8.952474675380344,2.3720633241358593,0.0
month_stratified_hidden_cells,2010,,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.02366751658634337,-3.416427545657605,-3.392760029071262,0.7387536628362618,1.0
month_stratified_hidden_cells,2010,,5000,historical_spatial_month_balanced_minus_random,mae,20,11.039887373868492,15.235519032836379,4.195631658967888,0.5117697577557287,0.0
month_stratified_hidden_cells,2010,,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,7.0876070473094135,8.665386263701247,1.5777792163918334,0.2167161304152756,0.0
month_stratified_hidden_cells,2010,,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,31.12969281602932,48.939035788098444,17.809342972069125,3.1046867647682697,0.0
month_stratified_hidden_cells,2010,,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,66.47152963103716,111.83346202937341,45.361932398336265,13.388832505437842,0.0
month_stratified_hidden_cells,2010,,5000,historical_spatial_month_balanced_minus_random,rmse,20,27.607048007991427,35.689328314664266,8.082280306672837,1.4388336176680265,0.0
month_stratified_hidden_cells,2014,,5000,historical_spatial_month_balanced_minus_random,bias,20,0.10055865094777712,-3.713041005783437,-3.8135996567312143,0.9646632559765208,1.0
month_stratified_hidden_cells,2014,,5000,historical_spatial_month_balanced_minus_random,mae,20,10.985996004771057,15.157842437878497,4.17184643310744,0.5541193604761427,0.0
