year,spatial_fold,evaluation_domain,budget,comparison,metric,n_seeds,mean_difference,sd_difference,seed_bootstrap_low,seed_bootstrap_high,fraction_difference_below_zero
2005,0,all,1000,historical_density_minus_random,mae,5,4.187258120146112,1.479317695209914,3.0410974946615013,5.31459887385971,0.0
2005,0,all,1000,historical_density_minus_random,median_absolute_error,5,3.0011329706819883,0.8952675902639525,2.2902778892328626,3.665572012947331,0.0
2005,0,all,1000,historical_density_minus_random,p95_absolute_error,5,15.793039893476106,4.811609759266691,12.49852585356146,19.910898274963422,0.0
2005,0,all,1000,historical_density_minus_random,p99_absolute_error,5,25.562827565518152,34.053701377330405,-2.7101164767008443,48.50509228683446,0.2
2005,0,all,1000,historical_density_minus_random,rmse,5,5.5706782666654675,3.334089898748698,2.878974141757209,8.025385477388522,0.0
2005,0,all,1000,spatial_coverage_minus_random,mae,5,0.9776516373086338,0.947039582518834,0.32390686559198373,1.7761644259694058,0.0
2005,0,all,1000,spatial_coverage_minus_random,median_absolute_error,5,0.6431546962077455,0.6068959519567492,0.20791406373908822,1.1720653309210494,0.0
2005,0,all,1000,spatial_coverage_minus_random,p95_absolute_error,5,2.1714141205536164,3.3278990671921096,-0.3739710190503672,4.812477806913951,0.2
2005,0,all,1000,spatial_coverage_minus_random,p99_absolute_error,5,10.245949153205734,22.39222276433188,-6.0809066669646255,29.439527208279856,0.2
2005,0,all,1000,spatial_coverage_minus_random,rmse,5,1.5884264141615518,2.127076703058609,-0.08106062930030263,3.257913457623406,0.4
2005,0,all,5000,historical_density_minus_random,mae,5,4.712144696675463,0.44594570179686777,4.319387325481275,5.021714369104582,0.0
2005,0,all,5000,historical_density_minus_random,median_absolute_error,5,2.3053773011044605,0.42187499630654846,1.9906099822116237,2.6201446199972973,0.0
2005,0,all,5000,historical_density_minus_random,p95_absolute_error,5,21.617192705635027,2.7114303388594383,20.014820639149338,24.076276196226768,0.0
2005,0,all,5000,historical_density_minus_random,p99_absolute_error,5,49.158246142400564,5.326615082080893,45.0717603746909,53.28124439933581,0.0
2005,0,all,5000,historical_density_minus_random,rmse,5,8.005933549065878,0.801908680916013,7.385584133923149,8.626282964208608,0.0
2005,0,all,5000,spatial_coverage_minus_random,mae,5,1.3419555849703564,0.7321353804605467,0.7978162744625173,1.8982589268948242,0.0
2005,0,all,5000,spatial_coverage_minus_random,median_absolute_error,5,0.7060430880592662,0.4553527550782547,0.3606009631027575,1.0639724362889467,0.0
2005,0,all,5000,spatial_coverage_minus_random,p95_absolute_error,5,2.1745336974413094,1.291457779650331,1.1329228907299183,3.2090097825390416,0.0
2005,0,all,5000,spatial_coverage_minus_random,p99_absolute_error,5,11.615704977580572,10.55890020821232,4.253136095321475,19.936199238733018,0.0
2005,0,all,5000,spatial_coverage_minus_random,rmse,5,4.4879151810813465,2.3569281892922507,2.4700201861636217,6.027339746456298,0.0
2005,0,spco2_le_threshold,1000,historical_density_minus_random,mae,5,4.179682302335485,1.480522477563107,3.0200271989514156,5.30766742967173,0.0
2005,0,spco2_le_threshold,1000,historical_density_minus_random,median_absolute_error,5,3.0009780204299323,0.8950635378403861,2.290212709262705,3.6652710599695126,0.0
2005,0,spco2_le_threshold,1000,historical_density_minus_random,p95_absolute_error,5,15.758925181193439,4.781785345521261,12.478793043807373,19.841225077200868,0.0
2005,0,spco2_le_threshold,1000,historical_density_minus_random,p99_absolute_error,5,25.50760651085652,34.19965897268864,-3.894484070646854,48.36335800097946,0.2
2005,0,spco2_le_threshold,1000,historical_density_minus_random,rmse,5,5.641225702647415,3.5261850880781536,2.7620831040071123,8.225779588902977,0.0
2005,0,spco2_le_threshold,1000,spatial_coverage_minus_random,mae,5,0.9817769657734445,0.9477805191365574,0.32593151872084614,1.7804816674523363,0.0
2005,0,spco2_le_threshold,1000,spatial_coverage_minus_random,median_absolute_error,5,0.6430464115674454,0.605591677507516,0.20898870331390604,1.17106596555895,0.0
2005,0,spco2_le_threshold,1000,spatial_coverage_minus_random,p95_absolute_error,5,2.169304851751336,3.3283871965186553,-0.3392338709721628,4.819996956018519,0.2
2005,0,spco2_le_threshold,1000,spatial_coverage_minus_random,p99_absolute_error,5,9.905318584685205,21.996060083334353,-6.365195836196551,28.490880513414254,0.2
2005,0,spco2_le_threshold,1000,spatial_coverage_minus_random,rmse,5,1.7796322591845566,2.3015920456861263,-0.018803557781078693,3.578068076150192,0.4
2005,0,spco2_le_threshold,5000,historical_density_minus_random,mae,5,4.704140634519335,0.4472144738386062,4.311349417271126,5.012401171575027,0.0
2005,0,spco2_le_threshold,5000,historical_density_minus_random,median_absolute_error,5,2.3051182776961694,0.42136922310416686,1.990682581051896,2.619955426092516,0.0
2005,0,spco2_le_threshold,5000,historical_density_minus_random,p95_absolute_error,5,21.595513153079963,2.7161077699480582,20.004539745754776,24.005412446997532,0.0
2005,0,spco2_le_threshold,5000,historical_density_minus_random,p99_absolute_error,5,48.95409251999925,5.564762506780321,44.23249891345512,53.14121095017462,0.0
2005,0,spco2_le_threshold,5000,historical_density_minus_random,rmse,5,8.240149218747288,0.8641320819769212,7.518678975535534,8.883553265128494,0.0
2005,0,spco2_le_threshold,5000,spatial_coverage_minus_random,mae,5,1.34442685453704,0.7346878877190075,0.8031491887902679,1.903004409964446,0.0
2005,0,spco2_le_threshold,5000,spatial_coverage_minus_random,median_absolute_error,5,0.7058555259403931,0.4551653898677662,0.36069222037363036,1.0581187832586578,0.0
