scope,n_finite_month_cells,month_cell_standard_deviation_uatm,annual_mean_spatial_standard_deviation_uatm,median_local_seasonal_amplitude_uatm,mean_local_seasonal_amplitude_uatm,month_cell_p05_uatm,month_cell_p95_uatm
2005,487488,45.485500017541334,31.191818329159833,58.52436828613281,73.3227119015727,303.6619812011719,429.7431427001953
2010,487488,44.78277511413912,30.130020800463463,59.73237609863281,74.99690065049619,311.63524932861327,435.50895233154296
2014,487488,43.09009372804066,29.68401800399465,58.01399230957031,73.15100374218045,320.0228500366211,445.4181762695312
pooled_prespecified_years,1462464,44.94599654323828,31.04369282461933,58.775115966796875,73.82353876474978,310.59224395751954,437.34942932128894
