validation_scheme,year,spatial_fold,budget,seed,comparison,metric,random_value,comparator_value,difference
month_stratified_hidden_cells,2005,,5000,6,historical_spatial_month_balanced_minus_random,p95_absolute_error,28.734475084531663,50.64144078236765,21.90696569783599
month_stratified_hidden_cells,2005,,5000,6,historical_spatial_month_balanced_minus_random,p99_absolute_error,58.157570206019656,113.75670681652528,55.599136610505624
month_stratified_hidden_cells,2005,,5000,6,historical_spatial_month_balanced_minus_random,bias,-0.2507609548287342,-3.835973083733462,-3.585212128904728
month_stratified_hidden_cells,2005,,5000,7,historical_spatial_month_balanced_minus_random,rmse,25.76136357140929,35.37514112465381,9.613777553244518
month_stratified_hidden_cells,2005,,5000,7,historical_spatial_month_balanced_minus_random,mae,10.658162080321684,15.341208824645344,4.68304674432366
month_stratified_hidden_cells,2005,,5000,7,historical_spatial_month_balanced_minus_random,median_absolute_error,6.9706648384701,8.166620137180757,1.1959552987106576
month_stratified_hidden_cells,2005,,5000,7,historical_spatial_month_balanced_minus_random,p95_absolute_error,30.218372146848008,56.548634462634574,26.330262315786566
month_stratified_hidden_cells,2005,,5000,7,historical_spatial_month_balanced_minus_random,p99_absolute_error,62.8039132868041,120.01431285671808,57.21039956991398
month_stratified_hidden_cells,2005,,5000,7,historical_spatial_month_balanced_minus_random,bias,-0.0668068992478049,-4.706015361840437,-4.639208462592632
month_stratified_hidden_cells,2005,,5000,8,historical_spatial_month_balanced_minus_random,rmse,30.112919818745404,35.07984949935936,4.9669296806139585
month_stratified_hidden_cells,2005,,5000,8,historical_spatial_month_balanced_minus_random,mae,11.686263688408213,14.924392610568654,3.238128922160442
month_stratified_hidden_cells,2005,,5000,8,historical_spatial_month_balanced_minus_random,median_absolute_error,7.20477382910974,8.525607776694699,1.3208339475849584
month_stratified_hidden_cells,2005,,5000,8,historical_spatial_month_balanced_minus_random,p95_absolute_error,30.3582486733525,46.54940026306618,16.191151589713684
month_stratified_hidden_cells,2005,,5000,8,historical_spatial_month_balanced_minus_random,p99_absolute_error,73.11245579491835,122.39303795826946,49.28058216335111
month_stratified_hidden_cells,2005,,5000,8,historical_spatial_month_balanced_minus_random,bias,-0.0208341093680325,-3.590938920521187,-3.570104811153154
month_stratified_hidden_cells,2005,,5000,9,historical_spatial_month_balanced_minus_random,rmse,25.33747696690436,34.261375054061666,8.923898087157305
month_stratified_hidden_cells,2005,,5000,9,historical_spatial_month_balanced_minus_random,mae,10.230934607855188,14.944846995875665,4.713912388020477
month_stratified_hidden_cells,2005,,5000,9,historical_spatial_month_balanced_minus_random,median_absolute_error,6.753413539354398,8.418808422401213,1.6653948830468153
month_stratified_hidden_cells,2005,,5000,9,historical_spatial_month_balanced_minus_random,p95_absolute_error,28.51127164508324,50.03445924246331,21.523187597380073
month_stratified_hidden_cells,2005,,5000,9,historical_spatial_month_balanced_minus_random,p99_absolute_error,59.67521532045219,109.12420251869372,49.44898719824153
month_stratified_hidden_cells,2005,,5000,9,historical_spatial_month_balanced_minus_random,bias,-0.2370000661645353,-3.438684313137681,-3.2016842469731457
month_stratified_hidden_cells,2005,,5000,10,historical_spatial_month_balanced_minus_random,rmse,25.59923898384592,36.0536102845915,10.454371300745581
month_stratified_hidden_cells,2005,,5000,10,historical_spatial_month_balanced_minus_random,mae,10.646248330954258,15.896091225614134,5.249842894659876
month_stratified_hidden_cells,2005,,5000,10,historical_spatial_month_balanced_minus_random,median_absolute_error,6.919176285315217,8.491572457138659,1.572396171823442
