spatial_block,spatial_fold,lon_block,lat_block,month_grid_rows,longitude_center,latitude_center,longitude_width,latitude_width
4_16,1,4,16,1068,-90.0,75.0,20.0,10.0
9_16,1,9,16,1932,10.0,75.0,20.0,10.0
14_16,1,14,16,864,110.0,75.0,20.0,10.0
2_17,1,2,17,1128,-130.0,85.0,20.0,10.0
7_17,1,7,17,456,-30.0,85.0,20.0,10.0
12_17,1,12,17,660,70.0,85.0,20.0,10.0
17_17,1,17,17,720,170.0,85.0,20.0,10.0
0_1,2,0,1,2124,-170.0,-75.0,20.0,10.0
5_1,2,5,1,360,-70.0,-75.0,20.0,10.0
10_1,2,10,1,36,30.0,-75.0,20.0,10.0
3_2,2,3,2,2400,-110.0,-65.0,20.0,10.0
8_2,2,8,2,2400,-10.0,-65.0,20.0,10.0
13_2,2,13,2,1632,90.0,-65.0,20.0,10.0
1_3,2,1,3,2400,-150.0,-55.0,20.0,10.0
6_3,2,6,3,2400,-50.0,-55.0,20.0,10.0
11_3,2,11,3,2400,50.0,-55.0,20.0,10.0
16_3,2,16,3,2400,150.0,-55.0,20.0,10.0
4_4,2,4,4,2400,-90.0,-45.0,20.0,10.0
9_4,2,9,4,2400,10.0,-45.0,20.0,10.0
14_4,2,14,4,2400,110.0,-45.0,20.0,10.0
2_5,2,2,5,2400,-130.0,-35.0,20.0,10.0
7_5,2,7,5,2400,-30.0,-35.0,20.0,10.0
12_5,2,12,5,2400,70.0,-35.0,20.0,10.0
17_5,2,17,5,2352,170.0,-35.0,20.0,10.0
0_6,2,0,6,2400,-170.0,-25.0,20.0,10.0
5_6,2,5,6,1152,-70.0,-25.0,20.0,10.0
10_6,2,10,6,744,30.0,-25.0,20.0,10.0
3_7,2,3,7,2400,-110.0,-15.0,20.0,10.0
8_7,2,8,7,2400,-10.0,-15.0,20.0,10.0
13_7,2,13,7,2400,90.0,-15.0,20.0,10.0
1_8,2,1,8,2400,-150.0,-5.0,20.0,10.0
6_8,2,6,8,240,-50.0,-5.0,20.0,10.0
11_8,2,11,8,2364,50.0,-5.0,20.0,10.0
16_8,2,16,8,2016,150.0,-5.0,20.0,10.0
4_9,2,4,9,2352,-90.0,5.0,20.0,10.0
9_9,2,9,9,648,10.0,5.0,20.0,10.0
14_9,2,14,9,1788,110.0,5.0,20.0,10.0
2_10,2,2,10,2400,-130.0,15.0,20.0,10.0
7_10,2,7,10,2400,-30.0,15.0,20.0,10.0
12_10,2,12,10,1704,70.0,15.0,20.0,10.0
17_10,2,17,10,2400,170.0,15.0,20.0,10.0
0_11,2,0,11,2400,-170.0,25.0,20.0,10.0
5_11,2,5,11,2340,-70.0,25.0,20.0,10.0
