spatial_test_fold,n_observations,mean_squared_error_gain,median_squared_error_gain,mean_absolute_error_gain
0,9219,34.830575671023674,1.007352302521077,0.12053525544630414
1,11281,40.25638268668154,-0.9678977086991564,0.20732727501460582
2,9790,5.705384680591104,2.6760441118360387,0.2451895994588511
3,5954,31.957557762423352,2.4683584830982976,0.3174391747461266
4,13128,-47.79797591364071,-4.212549057666477,-0.6509167586256929
