year,evaluation_domain,strategy,budget,seed,n_candidates,n_evaluation,n_evaluation_domain,rmse,mae,bias,median_absolute_error,p95_absolute_error,p99_absolute_error,r2,correlation
2005,all,random,500,0,390000,97488,97488,31.775487787517193,16.32503837758662,-2.117495029440614,11.03987196030775,46.94219319888201,91.15548237552949,0.4935113710357212,0.7041313013236193
2005,spco2_le_threshold,random,500,0,390000,97488,97474,25.61325939700986,16.138657827691947,-1.9290738778790997,11.038084032782848,46.90498949788072,90.6989662992592,0.6029436244077853,0.7780299424792829
2005,all,random,1000,0,390000,97488,97488,28.876207758801886,13.25195635932266,-0.2370782594196868,8.619181702161711,37.95965870862952,79.08609758052718,0.5817214797889256,0.7633901068909129
2005,spco2_le_threshold,random,1000,0,390000,97488,97474,22.095814847187082,13.06859151488241,-0.05184411348982261,8.617901652440054,37.91091083347019,78.71223794058538,0.7045101807150993,0.8401494432787302
2005,all,random,2500,0,390000,97488,97488,27.932041976686016,12.065190540414473,0.6184780940195039,7.518055323861404,34.066107143935376,83.81544253183394,0.6086272180496309,0.7803322679508183
2005,spco2_le_threshold,random,2500,0,390000,97488,97474,21.939273172753698,11.900133944438538,0.7853564205172399,7.515970054971348,34.00322364485625,83.21483229178205,0.7086822481738255,0.8424100018626183
2005,all,random,5000,0,390000,97488,97488,26.032258269693298,11.141723891418655,0.23365066475501187,7.21828465066821,30.382084391417788,70.09686710995663,0.660054782360617,0.8125233444332484
2005,spco2_le_threshold,random,5000,0,390000,97488,97474,20.081370824840885,10.986061048603531,0.3909473303719756,7.2163132538924515,30.3449193246392,69.65491703995161,0.7559329284908735,0.86954104324912
2005,all,historical_density,500,0,390000,97488,97488,39.64337733613208,21.31565489339502,-2.8395296899569664,13.88174159141002,66.83439365722792,125.6490878430637,0.21163644412872762,0.5666755482814237
2005,spco2_le_threshold,historical_density,500,0,390000,97488,97474,34.308717278796706,21.116428071931846,-2.6376491787627008,13.880413157515136,66.75143919305802,125.0643260833274,0.287587648361477,0.6383156927504597
2005,all,historical_density,1000,0,390000,97488,97488,38.26037245465469,19.041811672815605,-3.4691864648044155,11.26618506834069,67.30545845755523,126.70578075703315,0.26568291275749656,0.612610436989637
2005,spco2_le_threshold,historical_density,1000,0,390000,97488,97474,32.73735183596906,18.842923740836742,-3.2680618671207267,11.264162850031681,67.05607868357083,125.9634199936594,0.35135127302715685,0.6872861710263639
2005,all,historical_density,2500,0,390000,97488,97488,36.17702090509554,17.66026165172351,-4.107927779623783,10.397228783706595,62.327629050330735,118.39336129730303,0.3434756340406273,0.6536585746875351
2005,spco2_le_threshold,historical_density,2500,0,390000,97488,97474,30.61243964396921,17.468709233198382,-3.914428865887527,10.395146089185431,62.28215490658215,118.03122098032532,0.43282332531672985,0.7264998413785569
2005,all,historical_density,5000,0,390000,97488,97488,34.59330038246272,15.727387228874449,-4.580325860287251,9.000893333321073,53.00608879536328,112.15620862070574,0.399698756208393,0.675261153659922
2005,spco2_le_threshold,historical_density,5000,0,390000,97488,97474,28.4623631241604,15.530888701526433,-4.382226302314043,8.99893717259954,52.902717074021666,111.63947892953564,0.5096971829485045,0.7551031036383083
2005,all,spatial_coverage,500,0,390000,97488,97488,31.848688511643424,16.27727952203346,-0.9204396559351935,10.947028402774436,46.36133344309738,87.1586118209683,0.49117510229917005,0.7021903313180019
2005,spco2_le_threshold,spatial_coverage,500,0,390000,97488,97474,25.643622339235446,16.090564434417793,-0.7315188954413713,10.944227235851628,46.30908460477285,86.8323583199979,0.6020016946588476,0.7769484661519808
2005,all,spatial_coverage,1000,0,390000,97488,97488,28.99866887213723,14.494007633353236,-0.008016979999580323,9.596572417442161,41.909916151367284,82.43666841603324,0.5781662020875943,0.7604005266733289
2005,spco2_le_threshold,spatial_coverage,1000,0,390000,97488,97474,23.09479763103623,14.323404181011355,0.16466706685106178,9.594980440785804,41.87704558484619,81.9958669885011,0.6771871601146991,0.8231284584859014
2005,all,spatial_coverage,2500,0,390000,97488,97488,26.11459807465759,12.212890691179734,-0.24317514782732472,8.19563109931616,33.99349877517406,68.23942989129057,0.6579008938805071,0.811266430579898
2005,spco2_le_threshold,spatial_coverage,2500,0,390000,97488,97474,20.227346487804805,12.056187234361415,-0.0847525041734701,8.193052113937483,33.97232041154928,67.64230868123789,0.752371682994248,0.8674072438340255
