regime,strategy,budget_fraction,n_development,n_train,n_test,rmse,mae,bias,seed
temporal,random,0.1,49372,4938,9088,28.762313430184815,19.780746410323196,-7.811739941009161,42
temporal,random,0.2,49372,9875,9088,27.943827699945647,19.436515346173458,-8.497479125145999,42
temporal,coverage,0.1,49372,4938,9088,28.762313430184815,19.780746410323196,-7.811739941009161,42
temporal,coverage,0.2,49372,9875,9088,27.835150955343686,18.843022779300213,-6.546467424958073,42
spatial,random,0.1,40153,4016,9219,29.904347394990108,18.339055845398136,2.7046761877493197,42
spatial,random,0.2,40153,8031,9219,30.530942600204707,18.31863854036736,3.3212096268780953,42
spatial,coverage,0.1,40153,4016,9219,29.904347394990108,18.339055845398136,2.7046761877493197,42
spatial,coverage,0.2,40153,8031,9219,28.892090047058776,18.034158937783694,2.064705452591564,42
