year,variable,n_common_values,mean_difference,mean_absolute_difference,median_absolute_difference,p95_absolute_difference,maximum_absolute_difference,correlation
2005,spco2,487488,-0.0021861081863930177,0.018978925707209715,0.0,0.093292236328125,42.7056884765625,0.9999963337644183
2005,tos,487488,0.00048364331140814067,0.0008868935587492166,0.0,0.0041135907173156655,0.07607746124267578,0.9999999834165384
2005,sos,487488,7.966010627963184e-05,0.0004375065859415501,0.0,0.0020688056945800115,0.1786212921142578,0.9999998247676606
2010,spco2,487488,-0.00116728249537721,0.019071347697507027,0.0,0.09405517578125,53.6922607421875,0.9999955913046555
2010,tos,487488,0.0005469669911652259,0.000950175337477151,0.0,0.004328654706478112,0.10313796997070312,0.9999999792360226
2010,sos,487488,9.306351590284888e-05,0.000448830973504174,0.0,0.00215911865234375,0.13718795776367188,0.9999998188083504
2014,spco2,487488,-0.0020450388053372195,0.019058425939504096,0.0,0.095062255859375,45.821044921875,0.9999958783966244
2014,tos,487488,0.0005879448051913205,0.0009435941047396264,0.0,0.004365682601928711,0.09253215789794922,0.999999980702434
2014,sos,487488,6.0051452190963335e-05,0.0004257197698825955,0.0,0.00201416015625,0.15555572509765625,0.9999998215585338
