validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
month_stratified_hidden_cells,2005,,5000,spatial_coverage_minus_random,median_absolute_error,20,6.940798336305095,7.559003839160882,0.6182055028557869,8.906835682318441
month_stratified_hidden_cells,2005,,5000,spatial_coverage_minus_random,p95_absolute_error,20,29.74570770793908,30.815260008184516,1.0695523002454372,3.595652558503342
month_stratified_hidden_cells,2005,,5000,spatial_coverage_minus_random,p99_absolute_error,20,67.39412921060737,61.69281859196722,-5.701310618640157,-8.459654699036916
month_stratified_hidden_cells,2005,,5000,spatial_coverage_minus_random,bias,20,0.11759021120447186,0.12872912762560196,0.011138916421130102,
month_stratified_hidden_cells,2010,,500,historical_density_minus_random,rmse,20,34.18238843295324,41.106893604095035,6.924505171141796,20.2575229192185
month_stratified_hidden_cells,2010,,500,historical_density_minus_random,mae,20,17.308521994155683,21.89285938634646,4.5843373921907755,26.486013038771894
month_stratified_hidden_cells,2010,,500,historical_density_minus_random,median_absolute_error,20,11.234234158646407,14.08546119487338,2.851227036226973,25.379807790747638
month_stratified_hidden_cells,2010,,500,historical_density_minus_random,p95_absolute_error,20,50.99183679362203,69.16924344458145,18.177406650959426,35.64767969533709
month_stratified_hidden_cells,2010,,500,historical_density_minus_random,p99_absolute_error,20,101.23915512903281,123.76407132692256,22.524916197889752,22.24921392240084
month_stratified_hidden_cells,2010,,500,historical_density_minus_random,bias,20,0.03945159864891522,-3.4904028711633943,-3.5298544698123093,
month_stratified_hidden_cells,2010,,500,spatial_coverage_minus_random,rmse,20,34.18238843295324,35.00162671962191,0.8192382866686714,2.3966677702336674
month_stratified_hidden_cells,2010,,500,spatial_coverage_minus_random,mae,20,17.308521994155683,18.33194496448839,1.0234229703327067,5.912827049463097
month_stratified_hidden_cells,2010,,500,spatial_coverage_minus_random,median_absolute_error,20,11.234234158646407,12.193159916277704,0.9589257576312971,8.535746576843973
month_stratified_hidden_cells,2010,,500,spatial_coverage_minus_random,p95_absolute_error,20,50.99183679362203,53.58850421281279,2.5966674191907657,5.092319834839824
month_stratified_hidden_cells,2010,,500,spatial_coverage_minus_random,p99_absolute_error,20,101.23915512903281,102.17985510406301,0.9406999750301992,0.9291859200437267
month_stratified_hidden_cells,2010,,500,spatial_coverage_minus_random,bias,20,0.03945159864891522,0.18568041397422455,0.14622881532530935,
month_stratified_hidden_cells,2010,,1000,historical_density_minus_random,rmse,20,32.09536244385647,39.5177163852086,7.422353941352128,23.125939002358507
month_stratified_hidden_cells,2010,,1000,historical_density_minus_random,mae,20,14.702259953549207,19.406881878921016,4.704621925371809,31.99931126395359
month_stratified_hidden_cells,2010,,1000,historical_density_minus_random,median_absolute_error,20,9.076281697660917,11.74826229150086,2.671980593839942,29.43915452214918
month_stratified_hidden_cells,2010,,1000,historical_density_minus_random,p95_absolute_error,20,43.71954279857491,62.01396898913306,18.29442619055815,41.8449622742955
month_stratified_hidden_cells,2010,,1000,historical_density_minus_random,p99_absolute_error,20,92.7055587543002,127.33836259960103,34.63280384530083,37.35785028499639
month_stratified_hidden_cells,2010,,1000,historical_density_minus_random,bias,20,0.31565728524573095,-3.1666700184084813,-3.482327303654212,
month_stratified_hidden_cells,2010,,1000,spatial_coverage_minus_random,rmse,20,32.09536244385647,32.16433050467118,0.0689680608147043,0.21488481688078212
month_stratified_hidden_cells,2010,,1000,spatial_coverage_minus_random,mae,20,14.702259953549207,15.387128699047329,0.6848687454981217,4.658254905449353
month_stratified_hidden_cells,2010,,1000,spatial_coverage_minus_random,median_absolute_error,20,9.076281697660917,9.790234553721406,0.7139528560604891,7.866138137211901
month_stratified_hidden_cells,2010,,1000,spatial_coverage_minus_random,p95_absolute_error,20,43.71954279857491,45.494183506593785,1.7746407080188717,4.059147453108128
month_stratified_hidden_cells,2010,,1000,spatial_coverage_minus_random,p99_absolute_error,20,92.7055587543002,92.7172961675714,0.01173741327120581,0.012660959524890802
month_stratified_hidden_cells,2010,,1000,spatial_coverage_minus_random,bias,20,0.31565728524573095,0.3321016229510207,0.016444337705289747,
month_stratified_hidden_cells,2010,,2500,historical_density_minus_random,rmse,20,29.573606522625887,38.38552957385025,8.811923051224362,29.796579069524785
month_stratified_hidden_cells,2010,,2500,historical_density_minus_random,mae,20,12.278641193809255,17.631655319110127,5.353014125300872,43.59614423784773
