year,spatial_fold,evaluation_domain,budget,seed,comparison,metric,difference
2005,0,all,1000,7,historical_density_minus_random,mae,4.744326643596102
2005,0,all,1000,7,historical_density_minus_random,median_absolute_error,1.848098750712012
2005,0,all,1000,7,historical_density_minus_random,p95_absolute_error,23.391924764270378
2005,0,all,1000,7,historical_density_minus_random,p99_absolute_error,28.154300253686458
2005,0,all,1000,7,spatial_coverage_minus_random,rmse,-1.2496232624430483
2005,0,all,1000,7,spatial_coverage_minus_random,mae,-0.5262284969288071
2005,0,all,1000,7,spatial_coverage_minus_random,median_absolute_error,-0.5113432229094883
2005,0,all,1000,7,spatial_coverage_minus_random,p95_absolute_error,-1.3206842874490903
2005,0,all,1000,7,spatial_coverage_minus_random,p99_absolute_error,-15.635734820853216
2005,0,all,1000,8,historical_density_minus_random,rmse,-8.452612618489198
2005,0,all,1000,8,historical_density_minus_random,mae,1.0297191687519138
2005,0,all,1000,8,historical_density_minus_random,median_absolute_error,3.2372441021882157
2005,0,all,1000,8,historical_density_minus_random,p95_absolute_error,-5.0887102238979764
2005,0,all,1000,8,historical_density_minus_random,p99_absolute_error,-37.636390680100135
2005,0,all,1000,8,spatial_coverage_minus_random,rmse,-13.869793556182504
2005,0,all,1000,8,spatial_coverage_minus_random,mae,-4.010791523086388
2005,0,all,1000,8,spatial_coverage_minus_random,median_absolute_error,-0.37557283351986825
2005,0,all,1000,8,spatial_coverage_minus_random,p95_absolute_error,-20.22270919176686
2005,0,all,1000,8,spatial_coverage_minus_random,p99_absolute_error,-53.251267602187994
2005,0,all,1000,9,historical_density_minus_random,rmse,5.51664966571219
2005,0,all,1000,9,historical_density_minus_random,mae,4.0135207000811945
2005,0,all,1000,9,historical_density_minus_random,median_absolute_error,2.9058966951665735
2005,0,all,1000,9,historical_density_minus_random,p95_absolute_error,11.435510398631003
2005,0,all,1000,9,historical_density_minus_random,p99_absolute_error,31.072164140580227
2005,0,all,1000,9,spatial_coverage_minus_random,rmse,-0.7072421469606027
2005,0,all,1000,9,spatial_coverage_minus_random,mae,0.5326917391360855
2005,0,all,1000,9,spatial_coverage_minus_random,median_absolute_error,0.8951294123425555
2005,0,all,1000,9,spatial_coverage_minus_random,p95_absolute_error,-0.007408687294244487
2005,0,all,1000,9,spatial_coverage_minus_random,p99_absolute_error,-4.417375576861161
2005,0,all,1000,10,historical_density_minus_random,rmse,7.578008915661748
