regime,metric,n_seeds,mean,median,sd,ci_level,ci_lower,ci_upper,fraction_positive,bootstrap_resamples,spatial_test_fold
spatial_fold_0,rmse_gain,20,0.594067525589279,0.6382523312509925,0.514707333407803,0.95,0.3712431330813381,0.8107252423250065,0.9,10000,0
spatial_fold_0,cell_cv_reduction,20,0.9988443293190038,1.002520912075949,0.023181313541857068,0.95,0.9889499535192965,1.0084549742161901,1.0,10000,0
spatial_fold_1,rmse_gain,20,0.793785262306125,0.2488023094359022,1.3161722731368197,0.95,0.2738229632016361,1.3882952223870542,0.7,10000,1
spatial_fold_1,cell_cv_reduction,20,0.9475779958418566,0.9511859081845393,0.01707424942391084,0.95,0.9401054556555449,0.9546870574698206,1.0,10000,1
spatial_fold_2,rmse_gain,20,0.13025029547879824,0.08758669621551896,0.4256769479577454,0.95,-0.047863941913259156,0.3128840691211421,0.6,10000,2
spatial_fold_2,cell_cv_reduction,20,0.9851152356718238,0.9845774853435411,0.02140979957050605,0.95,0.9756067872659832,0.9941695082909915,1.0,10000,2
spatial_fold_3,rmse_gain,20,0.6187529572835551,0.6978061571919252,0.4943061066862352,0.95,0.4085100285244802,0.8344341196198563,0.9,10000,3
spatial_fold_3,cell_cv_reduction,20,0.9821247527771633,0.9827505255699931,0.014235656981068046,0.95,0.976014019766155,0.9881304016337674,1.0,10000,3
spatial_fold_4,rmse_gain,20,-0.6613113074204413,-0.5087356066130191,1.1187576474567513,0.95,-1.1487709840433082,-0.19229981523729864,0.3,10000,4
spatial_fold_4,cell_cv_reduction,20,0.960583469128478,0.9588456913091943,0.01672898093620925,0.95,0.9534131399589887,0.9678070166984233,1.0,10000,4
