latitude,longitude,delta_mae_uatm
-77.5,177.5,4.410773477304268
-77.5,178.5,-2.203823533345073
-77.5,179.5,18.60841131485828
-76.5,-179.5,-12.358911052817337
-76.5,-178.5,13.088554590210581
-76.5,-177.5,11.382775385490932
-76.5,-176.5,8.072816433104313
-76.5,-175.5,0.846989655369593
-76.5,-174.5,2.1682386442344974
-76.5,-173.5,-0.6694251781857812
-76.5,-172.5,11.351639872133207
-76.5,-171.5,-0.188899467761388
-76.5,-170.5,0.896160110032703
-76.5,-169.5,-6.216695388603938
-76.5,-168.5,13.250776773083839
-76.5,-167.5,-4.930382915431958
-76.5,-166.5,-0.7746740809780501
-76.5,-165.5,-11.61964540338994
-76.5,-164.5,-1.9412220310087047
-76.5,-163.5,0.927967179752752
-76.5,-162.5,9.412488899561723
-76.5,-161.5,4.213258049613291
-76.5,-160.5,-4.151669716251117
-76.5,-159.5,-6.27255643573191
-76.5,-158.5,-4.37986091004637
-76.5,-157.5,-1.4922355737685482
-76.5,-156.5,1.376524575830219
-76.5,-155.5,10.202468227993258
-76.5,-154.5,5.642773801543879
-76.5,-153.5,-16.32418791448023
-76.5,-152.5,7.334425365122254
-76.5,-151.5,-30.519878061987974
-76.5,-150.5,-6.196103594586388
-76.5,-149.5,-3.570117923950175
-76.5,-148.5,
-76.5,-54.5,12.362746865684844
-76.5,-53.5,23.314587256466158
-76.5,-52.5,30.9441551185256
-76.5,-51.5,39.6667212242908
-76.5,-50.5,18.495400623310505
-76.5,-49.5,19.10418378554647
-76.5,-48.5,8.684671894384682
-76.5,-47.5,30.66987121369858
-76.5,-46.5,8.465346255073722
-76.5,-45.5,7.136708828484565
-76.5,-44.5,34.122685947299615
-76.5,-43.5,25.97049820237714
-76.5,-42.5,8.864490163213393
-76.5,-41.5,18.368637407849626
-76.5,-40.5,25.662591611653767
-76.5,-39.5,17.286324815178016
-76.5,-38.5,40.8605584949964
-76.5,-37.5,
-76.5,-36.5,21.829270005260376
-76.5,-35.5,17.904261943312672
-76.5,-34.5,28.56210889013938
-76.5,-33.5,16.136820917466444
-76.5,-32.5,35.590921711091895
-76.5,-31.5,33.18381063828024
-76.5,-30.5,10.280302082694341
-76.5,-29.5,7.845600533286273
-76.5,-28.5,23.596224861409517
